,HighWeight,LowWeight,RelativeWeight
FRUITVALE STATION,8.0,,
WORKOUT CLOTHES,7.0,,
KITCHEN BACKDROP,8.0,,
HUMOR,1.0,,
HEAD MOVEMENTS,30.0,41.0,0.7317073170731707
GYM EQUIPMENT,8.0,,
CLOTHING STYLES,,7.0,
VISUAL FOCUS,,7.0,
GREEN VINTAGE VOLKSWAGEN CAMPER VAN,,7.0,
CASUAL ATTIRE,37.0,7.0,5.285714285714286
SKINCARE PRODUCTS,14.0,7.0,2.0
SIGNS OF SINCERITY,18.0,,
CLOTHING RACK,8.0,7.0,1.1428571428571428
EMOTIONAL STATE,13.0,16.0,0.8125
HIGH AUTHENTIC VIDEO,10.0,1.0,10.0
NOSTALGIA COTTON CANDY & SNOW CONE MAKER,,7.0,
FOXTAL PRODUCTS,8.0,,
SUBTLE SMILE,,6.0,
CHRISTMAS TREE,,6.0,
HANDLING AND DEMONSTRATION,7.0,,
DIY LASH EXTENSIONS,8.0,,
TWINS,17.0,,
DISHES,8.0,,
TAYLOR SWIFT MUSIC,7.0,,
POP SONG,38.0,,
WHITE KITCHEN POT,7.0,,
UPBEAT MUSIC,29.0,8.0,3.625
DENIM SHORTS,8.0,,
CRINKLING SOUNDS,6.0,,
HIP-HOP SONG WITH FEMALE VOCALIST,,1.0,
FEMALE VOICE,23.0,21.0,1.0952380952380953
LIGHT MAKEUP,,6.0,
HANGERS,6.0,,
ENGAGEMENT AND EMPHASIS,,7.0,
PRODUCT HANDLING,15.0,14.0,1.0714285714285714
POSITIVITY AND ENGAGEMENT,1.0,,
WOODY SANDALWOOD PRODUCT,7.0,,
EXCLAMATION,7.0,,
BODY LANGUAGE,92.0,37.0,2.4864864864864864
LOW BACKGROUND NOISE,8.0,,
PRODUCT VISIBILITY,7.0,,
INGREDIENTS,8.0,,
EYEGLASSES,13.0,4.0,3.25
BRANDED BOX,,7.0,
INDOOR SETTING,386.0,109.0,3.541284403669725
TUTORIAL VIDEO,9.0,,
AUDIO PRESENTATION,1.0,,
VINTAGE CLOTHING,8.0,,
SYMMETRY BRAND,,6.0,
LARGE BEVERAGE CONTAINER,,6.0,
PERSONAL CARE,,7.0,
SPONSORSHIP INDICATIONS,14.0,,
ATHLETIC SHOES,7.0,,
SOCIAL MEDIA WATERMARKS,7.0,,
VISUAL AND AESTHETIC STYLE,,5.0,
MAKEUP TUTORIAL,26.0,8.0,3.25
COFFEE PRODUCT,,7.0,
Y2K THEME,16.0,,
WORKOUT SESSION,9.0,,
CHILD'S VOICE,6.0,,
PROMOTIONAL TONE,,7.0,
NON-VERBAL SOUNDS,1.0,2.0,0.5
RESTAURANT SETTING,7.0,,
MALE COMPANION,,7.0,
ZANA BAYNE X PARADE,8.0,,
BIRTHDAY CELEBRATION,9.0,,
FEMALE HAND,,7.0,
SPONSORED VIDEO,1.0,,
BLUE JEANS,8.0,,
SIGH,,6.0,
BRACELETS,7.0,,
TRANSFORMATION NARRATIVE,8.0,,
VIDEO TITLE,8.0,6.0,1.3333333333333333
HAIR ROUTINE,9.0,,
HEART DESIGN,7.0,,
HAIR STYLING DEMONSTRATION,,7.0,
PARTY SCENE,9.0,,
LYSOL PRODUCT,7.0,,
HAIR AND MAKEUP STYLES,8.0,,
BRIGHT ENVIRONMENT,7.0,,
SMILING EXPRESSION,8.0,,
HALO GLOW WANDS,,7.0,
SUMMER VACATION,15.0,,
INDOOR BACKGROUND,6.0,11.0,0.5454545454545454
RAP SONG AUDIO,1.0,1.0,1.0
OUTFIT DESCRIPTION,8.0,,
SOCIAL MEDIA WEEK LIMA,8.0,,
PACKAGE,8.0,,
GRAPHIC TEXT AND ICONS,7.0,,
COMMUNICATION STYLE,8.0,,
APPLICATION,,7.0,
INTERACTION AND ENGAGEMENT,,7.0,
INSTAGRAM STORIES,7.0,,
SZA FAN CLUB SECRETARY,,7.0,
BREAKFAST PREPARATION,8.0,,
SPF,,7.0,
NEUTRAL EXPRESSION,15.0,6.0,2.5
PRODUCT FEATURE MOMENTS,35.0,12.0,2.9166666666666665
PLAYFUL/ENGAGED EXPRESSION,,6.0,
AUDIO CONTENT,35.0,,
ANIMATED FACIAL EXPRESSIONS,,7.0,
LO-FI MUSIC,7.0,,
SLEEPWEAR,18.0,,
SOCIAL MEDIA HANDLE,24.0,,
PARENTING TIPS,8.0,,
FEMALE VOCAL,1.0,,
INTRODUCTION,,6.0,
SETTING AND COMPOSITION,,1.0,
TRIP TO CALIFORNIA,,7.0,
CALL-TO-ACTION,1.0,,
MOTIVATIONAL TONE,,1.0,
YOUNG CHILD,,7.0,
LAUGH,1.0,1.0,1.0
BRA,9.0,,
PEACE SIGN GESTURE,15.0,6.0,2.5
ARMANI BEAUTY LUMINOUS SILK CONCEALER,1.0,,
FEMALE SPEAKER,58.0,9.0,6.444444444444445
OTHER INDIVIDUALS,7.0,,
ATHLETIC SET,,6.0,
ATHENOS FETA CHEESE,8.0,,
LEMON BOURBON,7.0,,
PHO DISH,9.0,,
MEMORIAL DAY,7.0,,
BRIGHT LIGHTING,23.0,7.0,3.2857142857142856
DRUGSTORE MAKEUP PRODUCTS,,7.0,
BRACES UPDATE,9.0,,
PRODUCT APPLICATION,,13.0,
VLOG-STYLE FORMAT,10.0,,
LIFESTYLE VIDEO,9.0,,
RUNNING FORM,16.0,,
CORPORATE JOB,7.0,,
NOTEBOOK OR TABLET,,6.0,
MORNING ROUTINE VLOG,9.0,,
BROWN SUGAR OAT MILK SHAKEN ESPRESSO,1.0,,
DAD,,6.0,
SPONSORSHIP STRATEGIES,52.0,21.0,2.4761904761904763
MUSICAL ACCOMPANIMENT,8.0,,
COLORFUL HEADBAND,7.0,,
CHIC PRESENTATION,,7.0,
MAKEUP PRODUCTS,25.0,8.0,3.125
WIG OR HAIRPIECE,8.0,,
BACKGROUND VOCALS,15.0,,
GREEN OUTFIT,9.0,,
HOOP EARRINGS,,5.0,
CALL TO ACTION,10.0,8.0,1.25
BIOHAZARD PROP,7.0,,
SPEECH RATE,116.0,16.0,7.25
SPONSORSHIP INDICATORS,35.0,20.0,1.75
MARBLE TABLE,7.0,,
GORGEOUS GOING OUT DRESS,,7.0,
DAY IN THE LIFE VLOG,,7.0,
HOME-LIKE BACKGROUND,9.0,,
CAT SCENE,,6.0,
EYE MOVEMENTS,47.0,43.0,1.0930232558139534
TIKTOK USERNAME,64.0,23.0,2.782608695652174
NON-VERBAL VOCAL SOUNDS,36.0,8.0,4.5
"FOURTH STREET, BERKELEY",7.0,,
LONG FLOWING HAIR,,6.0,
LIGHT PINK TOP,,5.0,
BIRTHDAY PARTY,8.0,,
INTERACTION AND INTRODUCTION,8.0,,
AUDIO DESCRIPTION,275.0,72.0,3.8194444444444446
PERSONALIZED TOUCHES,7.0,,
PRODUCT INTRODUCTION & INTERACTION,8.0,,
THOUGHTFUL/SMILING EXPRESSION,,1.0,
EYEBROW ENHANCEMENT,8.0,,
CAPTIONS,8.0,,
AUTHENTIC ENGAGEMENT,9.0,,
POSTURE,41.0,11.0,3.727272727272727
CRUMBL COOKIES,7.0,,
HAIR PRODUCT,8.0,,
LOW AUTHENTIC VIDEO,1.0,10.0,0.1
OVERALL DEMEANOR,10.0,,
UPCOMING REVEAL,8.0,,
DAY IN MY LIFE VLOG,10.0,,
MAKEUP PRODUCT,9.0,,
EXPRESSIVE FACIAL EXPRESSIONS,8.0,,
TEXT OVERLAYS,29.0,6.0,4.833333333333333
GLASSES,27.0,12.0,2.25
AUDIENCE ENGAGEMENT,43.0,6.0,7.166666666666667
SPONSORED COMPONENT,7.0,,
VISUAL DESCRIPTION,8.0,7.0,1.1428571428571428
FEMALE VOCALS,9.0,,
WORKING OR PLANNING,8.0,,
FOOD AND DRINK PREPARATION,,7.0,
SUSTAINABLE FASHION,8.0,,
ENTREPRENEURSHIP,8.0,,
HAND GESTURES,156.0,38.0,4.105263157894737
WARM LIGHTING,17.0,6.0,2.8333333333333335
NEST WITH ME DAY 1,9.0,,
MOTHERHOOD CHALLENGES,9.0,,
EXCITEMENT AND ENTHUSIASM,,7.0,
MAKEUP THEME,,7.0,
TEXT ELEMENTS,15.0,,
MULTITASKING,8.0,,
BRAND PACKAGING,,7.0,
CURLY SILVER HAIR,8.0,,
FEMALE SINGER,17.0,,
OUTDOOR FOREST SETTING,8.0,,
ENTHUSIASM AND ENGAGEMENT,7.0,,
SUNDAY VIBES,,6.0,
DRESS BY I AM GIA,,7.0,
SONG AUDIO,9.0,,
AUDIO EFFECTS,23.0,10.0,2.3
STYLISH DRESS,,6.0,
POSITIVE MESSAGE,,6.0,
CAR SEAT,1.0,,
DRINK,6.0,,
PHOTO SHOOT SESSION,9.0,,
DANCE SEQUENCE,7.0,,
TAYLOR SWIFT CUPCAKES,7.0,,
PERSONAL SPACE,7.0,,
USER REQUEST,7.0,,
SOUTHERN US ACCENT,7.0,,
GLAMOROUS SETTING,8.0,,
ROOM WITH NEUTRAL COLORS,7.0,,
UPRIGHT POSTURE,7.0,7.0,1.0
HAND AND FINGER GESTURE,7.0,18.0,0.3888888888888889
NEUTRAL/FOCUSED EXPRESSION,,6.0,
PINK SCRUNCHIE,8.0,,
NATURE BACKDROP,,7.0,
SATISFACTION EXPRESSION,8.0,,
CARDIOVASCULAR FITNESS,8.0,,
VERBAL PROMOTION,7.0,,
FRIDAY MORNING SERIES,9.0,,
SKINCARE ROUTINE,16.0,7.0,2.2857142857142856
TORTILLA,1.0,,
SEATED POSITION,1.0,,
PERSONAL BRANDING,1.0,,
BACKGROUND MUSIC,158.0,19.0,8.31578947368421
STORYTIME VLOG,9.0,,
FESTIVE ATMOSPHERE,8.0,,
NATURAL LIGHT,22.0,,
OOTN CLIP,9.0,,
AUDIENCE INTERACTION,9.0,,
ARMANI BEAUTY LUMINOUS SILK FOUNDATION,8.0,,
BURGUNDY TRENCH COAT,8.0,,
GENTLE GAZE,1.0,,
VOCAL INFLECTIONS,8.0,,
DECORATIVE BACKGROUND,,5.0,
SPONSORSHIP STRATEGY,7.0,,
ENTHUSIASM,32.0,,
POP SONG AUDIO,1.0,1.0,1.0
GRAPHICAL ELEMENTS,6.0,,
SPONSORSHIP CONSIDERATIONS,1.0,,
HALLOW: PRAYER & MEDITATION,7.0,,
LARGE CARDBOARD BOX,7.0,,
BRIGHT PINK TOP,6.0,,
LIGHT-COLORED GARMENT,6.0,,
HANDWRITTEN NOTE,1.0,,
PATTERNED ROBE,,6.0,
PROMOTIONAL BACKDROP,7.0,,
OLAMONDE GOURMAND SKIN SCENT COLLECTION,8.0,,
AMAZON,,12.0,
HAND GESTURE,94.0,48.0,1.9583333333333333
METALLIC BUTTONS,,5.0,
BAY AREA,8.0,,
LIPSTICK,,7.0,
ENGAGEMENT WITH AUDIENCE,8.0,,
SETUP ACTIVITY,,6.0,
CUPCAKES,7.0,,
PRODUCT INTRODUCTION,22.0,20.0,1.1
FANCY FELINE TOY SET,8.0,,
ORGANIZATION ACTIVITY,,6.0,
INDOOR RESTAURANT SETTING,8.0,,
PRESENTATION STRATEGIES,,6.0,
CONTENT FOCUS,1.0,,
AUDIO ELEMENTS,,7.0,
AUDIENCE,17.0,15.0,1.1333333333333333
STANDING POSTURE,,6.0,
MAKEUP HACKS,,7.0,
YOUTUBE CHANNEL,14.0,6.0,2.3333333333333335
SEATTLE FOREST SETTING,,7.0,
INFLUENCER USERNAME,1.0,,
CAMERA MOVEMENT,8.0,,
LIGHTING,53.0,1.0,53.0
ARTICULATION,9.0,,
FEMALE NARRATOR,9.0,,
AMIKA,,6.0,
COOKING TUTORIAL,9.0,,
SINCERITY,61.0,,
SPANISH SONG,2.0,,
SPONSORED CONTENT,21.0,16.0,1.3125
BEAUTY TUTORIAL,8.0,,
CUSHIONED SURFACE,6.0,,
POSTURE AND MOVEMENTS,8.0,,
NECKLACE WITH CROSS PENDANT,,5.0,
COZY HOME SETTING,,6.0,
PARAMOUNT+,15.0,,
CONFIDENT EXPRESSION,,7.0,
VALENTINE'S DAY SELF-CARE THEME,8.0,,
FEMALE VOCALIST,24.0,1.0,24.0
KITCHEN SETTING,40.0,,
MAKEUP SCENARIO,,7.0,
VLOG-STYLE AUDIO,9.0,,
HOME ENVIRONMENT,8.0,,
MOM,,6.0,
LEG STRENGTH,8.0,,
EARRINGS,8.0,,
LAKE MERRITT,7.0,,
SILENCES,17.0,11.0,1.5454545454545454
MOM-AND-POP CHINESE RESTAURANT,9.0,,
DOG,15.0,6.0,2.5
FOOD PRESENTATION,8.0,,
VISUAL AND TEXTUAL EMPHASIS,,7.0,
WINE GLASSES,14.0,,
CLOTHING ITEMS,,7.0,
SHAMPOO BOTTLE,,7.0,
CASUAL HOME ENVIRONMENT,,6.0,
TIKTOK LOGO AND WATERMARK,7.0,,
PLAYFUL INTERACTION,7.0,,
GUITAR,8.0,,
NEUTRAL TONE CLOSET,,6.0,
GLOWING SKIN,8.0,,
MORNING ROUTINE,36.0,7.0,5.142857142857143
PANDEMIC,7.0,,
MAKEUP DISCUSSION,8.0,,
DISCOMFORT LEVEL,8.0,,
ENGAGING DEMEANOR,8.0,,
BACKGROUND ELEMENTS,8.0,6.0,1.3333333333333333
VIEWER ENGAGEMENT,9.0,,
EMOTIONAL STATE AND DEMEANOR,18.0,6.0,3.0
FASHION TRANSFORMATION THEME,,7.0,
INDOOR BATHROOM SETTING,8.0,,
AJ'S,8.0,6.0,1.3333333333333333
DRUGSTORE PRODUCTS,15.0,,
EGG,7.0,,
AMUSED EXPRESSION,8.0,,
SHIMMERY EYE MAKEUP,,7.0,
COZY SETTING,,6.0,
TRIPLE ZERO FRAGRANCE,1.0,,
MALE VOCALIST SONG,,1.0,
CONTENT INTEGRATION,9.0,,
FASHION SHOWCASE,,7.0,
WHITE DRESS,8.0,,
THE WESLEY,8.0,,
DOMESTIC AREAS,8.0,,
WHITE TOP,8.0,,
WOMAN'S VOICE,9.0,,
SPONSORED CONTENT INDICATORS,18.0,,
OOTD THEME,8.0,,
CASUAL HOME SETTING,15.0,,
CONAIR,,6.0,
WALK-IN CLOSET,,6.0,
LOWER EAST SIDE (LES),8.0,,
HAIRSTYLE THEME,8.0,,
ACTIVITY KITS,8.0,,
ROSA,9.0,,
PLANTING TREES EVENT,1.0,,
HAIR STYLING TECHNIQUE,8.0,7.0,1.1428571428571428
JAM JAR WINES,8.0,,
THEMED EVENT,8.0,,
FASHION PRODUCTS,,7.0,
BEDDING,,11.0,
BART,8.0,,
URBAN BACKGROUND,7.0,,
TIKTOK OVERLAY,,7.0,
MILK MAKEUP,,7.0,
RUSHED #OOTD TEXT,7.0,,
ACCESSORIES,13.0,,
BACKGROUND NOISE,161.0,69.0,2.3333333333333335
BATHROOM ROUTINE,8.0,,
E.L.F. COSMETICS,,7.0,
CLOTHING WITH LOGO,7.0,,
WOODY SANDALWOOD PERFUME,,7.0,
FASHION OUTFIT,,7.0,
FEMALE INDIVIDUAL RIGHT,,7.0,
AGE REFLECTION,8.0,,
SOCIAL HANDLE,16.0,,
MENTAL HEALTH TOPIC,9.0,,
CASUAL POSTURE,8.0,,
EYE MOVEMENT,14.0,36.0,0.3888888888888889
ARM AND HAND MOVEMENTS,8.0,,
GESTURE AND MOVEMENT,8.0,7.0,1.1428571428571428
GESTURES,40.0,12.0,3.3333333333333335
PRODUCT PLACEMENT,81.0,27.0,3.0
KIWICO CRATES,9.0,,
STRETCHING AND GETTING UP,8.0,,
SUBSCRIPTION BOX,8.0,,
DAILY DIARIES VLOG,9.0,,
R&B SONG,,7.0,
MENU,14.0,,
SPONSORED PRODUCT,14.0,,
NECKLACE,6.0,5.0,1.2
RESULTS,,6.0,
CANDLE WARMER,7.0,,
ARTICULATION CLARITY,84.0,25.0,3.36
UPBEAT JINGLE,,5.0,
HOME FITNESS ROUTINES,8.0,,
PITCH VARIATION,16.0,12.0,1.3333333333333333
GUESTS,1.0,,
TOY ASSEMBLY PROCESS,9.0,,
DELTA APP,,7.0,
TRANSPORTATION PLANNING,,7.0,
HESITATIONS,4.0,2.0,2.0
OUTFIT,7.0,,
POSE AND POSTURE,,6.0,
DRINKS,7.0,,
PITCH FLUCTUATIONS,8.0,,
BRAND VISIBILITY,8.0,6.0,1.3333333333333333
WELL PEOPLE,7.0,,
PAID PROMOTION LABEL,7.0,,
PACKING AND ORGANIZING,,7.0,
FEMALE RAPPER,,1.0,
DIY BEAUTY TIPS,,7.0,
GRADUATION SCENE,,7.0,
GLITTERY EYE SHADOW,,6.0,
BRANDED TISSUE PAPER,6.0,,
NATURAL LIGHTING,25.0,6.0,4.166666666666667
UPBEAT BACKGROUND MUSIC,31.0,,
AMAZING NOODLES,9.0,,
CASUAL OUTFIT,7.0,5.0,1.4
SUPPORTIVE MESSAGE,9.0,,
