,HighWeight,LowWeight,RelativeWeight
VLOG-STYLE FORMAT,10.0,,
HOTEL SNOB,,7.0,
SPEECH PATTERNS,15.0,1.0,15.0
DISCOUNT CODE,7.0,,
ANGRY TONE,,6.0,
UPRIGHT POSTURE,15.0,,
CASUAL SETTING,75.0,14.0,5.357142857142857
RUNNING ATTIRE,8.0,,
TONE OF VOICE,7.0,,
CROUCHING AND JUMPING MOVEMENT,8.0,,
PRODUCTS IN BACKGROUND,6.0,,
AMERICAN ACCENT,37.0,,
SINCERITY,61.0,,
BODY LANGUAGE,102.0,31.0,3.2903225806451615
CHAIN NECKLACE,6.0,,
POSTURE AND MOVEMENT,1.0,,
GYM OR HOME WORKOUT AREA,7.0,,
SOUL MUSIC,,6.0,
ROMANTIC R&B SONG,,1.0,
MALE VOICE,48.0,22.0,2.1818181818181817
BACKGROUND MUSIC,159.0,19.0,8.368421052631579
SPONSORSHIP INDICATORS,35.0,20.0,1.75
MALE VOCALIST,10.0,12.0,0.8333333333333334
ARTICULATION CLARITY,84.0,18.0,4.666666666666667
ON-SCREEN COMMENT,8.0,,
CAVA ORDER,,6.0,
XIAOMI 12S ULTRA,8.0,,
POSTURE,40.0,8.0,5.0
HAND GESTURES,174.0,25.0,6.96
ENGLISH LANGUAGE,8.0,,
INDOOR ENVIRONMENT,24.0,6.0,4.0
EXPRESSIVE GESTURES,8.0,7.0,1.1428571428571428
NON-VERBAL VOCAL SOUNDS,36.0,7.0,5.142857142857143
AGGRESSIVE TONE,,6.0,
RED SHORTS,1.0,,
WOMAN IN CONVERSATION,,1.0,
THE AXE GAME,7.0,,
CLEAR IPHONE CASE,,6.0,
HUMOROUS TIKTOK POST,8.0,,
COFFEE SHOP SETTING,,6.0,
CHRISTOPHER CHAOS LOGO,7.0,,
"CAP WITH ""BATTLE AGILE""",7.0,,
SILENCES IN AUDIO,,6.0,
SOUND EFFECTS,1.0,,
COUNTRY AS A JOKE,1.0,,
HIGH PITCHES,60.0,,
EYE AND HEAD MOVEMENTS,130.0,25.0,5.2
SOONG HAK KOREAN BARBECUE,7.0,,
PRODUCT PLACEMENT,75.0,34.0,2.2058823529411766
GALAXY Z FLIP 4,1.0,,
REPETITIVE STRUCTURE,8.0,5.0,1.6
KITCHEN SETTING,40.0,,
SOCIAL HANDLE,16.0,,
BOOTLICKERS,7.0,,
TREADMILL,16.0,,
GAMING CHAIR,6.0,,
RECURRING PITCH PATTERNS,33.0,,
AUDIENCE ENGAGEMENT,34.0,6.0,5.666666666666667
SPANISH SONG,2.0,,
VISUAL CUES,7.0,,
GESTURES,56.0,6.0,9.333333333333334
MOCKING TONE,,6.0,
POLICE BRUTALITY,8.0,,
LUSH GREEN FIELD,9.0,,
TREADMILL RUNNING TECHNIQUES,8.0,,
HIP HOP SONG,7.0,,
TIKTOK HANDLE,52.0,23.0,2.260869565217391
BASEBALL CAP,5.0,,
GLOBE,7.0,,
FAST-FOOD MEAL,,7.0,
EMOTIONAL STATE,14.0,7.0,2.0
LUXURIOUS HOTEL,,7.0,
INTERACTION WITH THE PRODUCT,,7.0,
MALE INFLUENCER,303.0,71.0,4.267605633802817
HIP HOP MUSIC,7.0,,
MALE VOCALIST SONG,1.0,,
NIGERIAN LAW,8.0,,
RUNNING POSTURE,8.0,,
SIGH SOUNDS,5.0,,
FITNESS EVENT,9.0,,
HAT,7.0,6.0,1.1666666666666667
PENDANT NECKLACE,8.0,,
RAP LYRICS,17.0,6.0,2.8333333333333335
NIGHT SKY,,5.0,
SLOW SPEECH RATE,7.0,7.0,1.0
SUBURBAN STREET,8.0,,
ANIMATED SCENE,,7.0,
EDEN,7.0,,
TEMU PRODUCTS,8.0,,
GLASS MIXING BOWL,6.0,,
ATHLETIC GEAR,8.0,,
PRODUCT FEATURE MOMENTS,29.0,18.0,1.6111111111111112
EXPRESSIONS AND GESTURES,8.0,,
WINDOWS PHONE,1.0,,
DIGITAL STORAGE OPTIONS,8.0,,
PATRIOTIC SETTING,8.0,,
SEATED POSTURE,14.0,6.0,2.3333333333333335
AUDIO CHARACTERISTICS,9.0,,
RACIAL EXCLUSIVITY,8.0,,
SECOND INDIVIDUAL,7.0,,
POV SCENARIO,,7.0,
CASUAL OUTFIT,15.0,,
PRODUCT INTRODUCTION,41.0,19.0,2.1578947368421053
MALE SPEAKER,41.0,14.0,2.9285714285714284
12S ULTRA,8.0,,
LOW PITCHES,58.0,7.0,8.285714285714286
TOWEL SWAN,8.0,,
COMPUTER,,1.0,
HEAD MOVEMENTS,29.0,30.0,0.9666666666666667
SPONSORED PRODUCT,14.0,,
HUMOROUS TIKTOK SKIT,9.0,,
FITNESS TIPS,9.0,,
MUSICAL INTONATION,8.0,,
VOCAL EMPHASIS,7.0,,
TIKTOK,7.0,7.0,1.0
SENNHEISER MKE 400 MICROPHONE,,7.0,
"BRANSON, MISSOURI",8.0,,
DINING EXPERIENCE SCENE,,6.0,
MELANCHOLIC MUSIC,1.0,,
COMMENT BUBBLE,7.0,,
DYNAMIC FACIAL EXPRESSIONS,16.0,,
EYE CONTACT,43.0,7.0,6.142857142857143
AFRICAN-AMERICAN STUDIES,1.0,,
CANON R6 CAMERA,,7.0,
SUBURBAN NEIGHBORHOOD,8.0,,
SYNTH MELODY,7.0,,
CLOTHING WITH TEXT AND GRAPHICS,7.0,,
SPONSORED CONTENT INDICATORS,12.0,6.0,2.0
LARGE POT,7.0,,
SPOUSE,8.0,,
POOR AUDIO QUALITY,,5.0,
YOUNG MAN WITH BACKPACK,,7.0,
NARROW PITCH RANGE,6.0,,
VINYL RECORD SCRATCH,7.0,,
LONG SILENCES,1.0,,
OUTDOOR LOCATION,,6.0,
MALE COMPANION,,7.0,
UPBEAT LATIN MUSIC,13.0,,
LOW AUTHENTIC VIDEO,1.0,10.0,0.1
CAMERA,8.0,,
PATTERNED SURFACE,6.0,,
GRAY SHIRT,5.0,,
GAVEL,7.0,,
SPONSORSHIP IDENTIFICATION,7.0,,
CORI,7.0,,
SHORT SILENCES,42.0,11.0,3.8181818181818183
OVERALL DEMEANOR,10.0,,
IPHONE 14 PRO,8.0,,
BRANDED PRODUCTS,,8.0,
WISHFUL THINKING CAKES,7.0,,
WALMART,,18.0,
LAUGH SOUND,1.0,,
FOOT MOVEMENT,1.0,,
NARRATIVE THEME,,7.0,
ACOUSTIC GUITAR,9.0,,
TRIO,,1.0,
CANON MIRRORLESS CAMERA,,7.0,
HAND AND FINGER GESTURE,13.0,18.0,0.7222222222222222
HAND POSITION,,6.0,
MALE RAPPER,9.0,,
PRODUCT OR SERVICE,7.0,,
SMARTPHONE,24.0,,
"SHIRT WITH ""EMBRACE THE SUCK""",8.0,,
BANANA SYRUP TUTORIAL,9.0,,
T-SHIRT GRAPHIC,1.0,,
OUTDOOR SETTING,48.0,13.0,3.6923076923076925
PAUSES AND SILENCES,1.0,6.0,0.16666666666666666
FRENCH LYRICS,1.0,,
PARENTS,8.0,6.0,1.3333333333333333
AUDIO NARRATION,18.0,6.0,3.0
HEAD MOVEMENT,28.0,23.0,1.2173913043478262
SILENCE AND PAUSES,7.0,,
PRODUCT USAGE,,6.0,
CASUAL INTERACTION,,6.0,
PRODUCT PRESENTATION,9.0,,
POLICE CRUISERS,8.0,,
TEXT BRAND ON HOODIE,6.0,,
ENGAGEMENT TACTICS,,7.0,
HAND AND FINGER GESTURES,120.0,40.0,3.0
ENTERTAINMENT VENUE,9.0,,
PHYSICAL EXPRESSIONS,8.0,,
POOL SCENE,,6.0,
EQUAL RIGHTS,8.0,,
RESIDENTIAL AREA,16.0,6.0,2.6666666666666665
AUDIO COMMENTARY,1.0,,
PHONE COMPARISON,8.0,,
HIGH AUTHENTIC VIDEO,10.0,1.0,10.0
CALL TO ACTION,19.0,1.0,19.0
TECH-RELATED BACKGROUND,7.0,,
OVERALL HUMOR,,7.0,
EYE MOVEMENT,28.0,24.0,1.1666666666666667
TARGET STORE,7.0,,
INTRODUCTION AND PRESENTATION,,6.0,
VOCAL INFLECTION,6.0,,
MORNING ROUTINE,34.0,7.0,4.857142857142857
SILENT SECTIONS,,6.0,
COMEDIC SKIT,16.0,,
MARATHON ADVICE,,7.0,
BLUE SLEEVELESS SHIRT,1.0,,
FAMILY,7.0,7.0,1.0
POV STYLE,,7.0,
ARM MOVEMENT,,13.0,
KITCHEN SETUP,,6.0,
FEMALE INFLUENCER,994.0,285.0,3.487719298245614
RUNNING FORM,16.0,,
ROOM INSPECTION SCENE,,6.0,
ELECTRONIC BEAT,16.0,,
