,HighWeight,LowWeight,RelativeWeight
WALL CLOCK,7.0,,
TV SCREEN,7.0,,
DECORATIVE BASKETS,7.0,,
PENDANT LIGHTS,1.0,,
CAR SETTING,16.0,,
STARBUCKS,15.0,6.0,2.5
FRIDAY MORNING SERIES,9.0,,
AUDIENCE INTERACTION,9.0,,
PRODUCT HANDLING,15.0,14.0,1.0714285714285714
CONCLUSION,8.0,,
POSITIVE DEMEANOR,36.0,,
SPONSORSHIP IDENTIFICATION,7.0,,
CAR INTERIOR,28.0,13.0,2.1538461538461537
TIKTOK BRANDING,7.0,1.0,7.0
BROWN SUGAR OAT MILK SHAKEN ESPRESSO,1.0,,
VOCAL TONE,8.0,,
DAYTIME LIGHTING,7.0,,
GREENERY OUTSIDE,8.0,,
EYES,8.0,,
STARBUCKS AMBIENCE,8.0,,
WIND NOISE,13.0,,
MEDIUM SILENCES,46.0,11.0,4.181818181818182
TRAFFIC NOISE,18.0,,
WIG OR HAIRPIECE,8.0,,
BRACELETS,7.0,,
CLOTHING WITH LOGO,7.0,,
NEON OR LED LIGHTING,7.0,,
POSTURE,41.0,11.0,3.727272727272727
BEDROOM ELEMENTS,8.0,,
LIGHTING COLORS,8.0,,
SYNTHETIC BEAT,8.0,,
GEN Z SLANG,1.0,,
HAIRSTYLE THEME,8.0,,
DYNAMIC AUDIO CLIP,,8.0,
SLOW SPEECH RATE,7.0,7.0,1.0
LAUGHTER,8.0,5.0,1.6
MELODIC ELEMENTS,,6.0,
RHYTHMIC PATTERNS,,6.0,
FLIRTATIOUS TONE,,5.0,
CONVERSATIONAL DELIVERY,,6.0,
POOR ARTICULATION,,7.0,
QUIET RECORDING ENVIRONMENT,,6.0,
SPOKEN WORD,,7.0,
VALENTINE'S DAY SELF-CARE THEME,8.0,,
JAM JAR WINES,8.0,,
INTRODUCTORY CARD,7.0,,
SELF-CARE ESSENTIALS,8.0,,
WINE FEATURE,8.0,,
RELAXATION ACTIVITIES,8.0,,
SPONSORSHIP INDICATIONS,14.0,,
PRODUCT DISPLAY,15.0,,
INFLUENCER'S FACIAL EXPRESSIONS,8.0,,
ADDITIONAL ELEMENTS,7.0,,
INDOOR ENVIRONMENT,24.0,6.0,4.0
MARBLE TABLE,7.0,,
POP SONG,38.0,,
R&B STYLE,8.0,,
RECURRING PITCH PATTERNS,32.0,,
MELODIC CONTOUR,8.0,,
EMOTIONAL IMPACT,1.0,,
HUMOROUS TIKTOK POST,8.0,,
TARGET STORE,7.0,,
STORE SIGNAGE,6.0,,
CEILING LIGHTS,6.0,,
SHOPPING LIST,7.0,,
TIKTOK,7.0,,
PARKING LOT,1.0,,
SPOUSE,8.0,,
GYM EQUIPMENT,8.0,,
GYM LOCATION,8.0,,
WORKOUT SESSION,9.0,,
PRODUCT INTERACTION,28.0,22.0,1.2727272727272727
VOCAL PERFORMANCE,1.0,,
SINGER,8.0,14.0,0.5714285714285714
EXPRESSIVE VOCALIZATION,,1.0,
MUSICAL RHYTHM,,7.0,
LYRICAL RHYTHM,,1.0,
COZY ROOM,16.0,,
ACOUSTIC GUITAR,9.0,,
VINYL RECORD SHELVES,7.0,,
PLANT,12.0,,
AUDIO CONTENT,35.0,,
FEMALE VOCAL MELODY,1.0,,
WARM EARTHY COLORS,7.0,,
FLOOR RUG,6.0,,
NEUTRAL BEIGE WALL,6.0,,
MINIMALIST WALL DECOR,6.0,,
NATURAL OR ARTIFICIAL LIGHTING,7.0,,
SYNTHESIZED INSTRUMENTALS,8.0,,
SIMPLE DRUM BEAT,1.0,,
WICKER CHAIR,7.0,,
PAUSE LOCATIONS,8.0,,
LONG SILENCES,2.0,,
CONTEXT,8.0,,
LYRICAL EMPHASIS,7.0,,
MUSICAL BRIDGE,6.0,,
ARTIST'S STYLE,1.0,,
SONG STRUCTURE,8.0,,
OUTDOOR SETTING,56.0,7.0,8.0
RUSHED #OOTD TEXT,7.0,,
BRICK BUILDING,,6.0,
GREEN OUTFIT,9.0,,
BURGUNDY TRENCH COAT,8.0,,
THOUGHTFUL EXPRESSION,15.0,,
SMILING/BRIGHT EXPRESSION,8.0,,
WALKING MOTIONS,8.0,,
SELFIE POSITION,8.0,,
LIGHT TRAFFIC SOUNDS,7.0,,
HIGH-PITCHED VOICE,8.0,,
UPWARD INFLECTION,9.0,,
NEUTRAL/PLEASANT EXPRESSION,7.0,,
AUDIO WAVEFORM,8.0,,
ARTICULATION,9.0,,
SLOW SPEECH SEGMENT,8.0,,
BACKGROUND CHATTER,7.0,,
SHORT SILENCE,8.0,,
MEDIUM SILENCE,1.0,,
FAST SPEECH SEGMENT,8.0,,
NOSTALGIA COTTON CANDY & SNOW CONE MAKER,,7.0,
SAM'S CLUB,,6.0,
RETAIL PARTNERSHIP,,6.0,
VISUAL AND TEXTUAL EMPHASIS,,7.0,
USER ENGAGEMENT,,6.0,
PROMOTIONAL TONE,,7.0,
INDOOR RETAIL ENVIRONMENT,,5.0,
PRICE SIGNAGE,,5.0,
TEXT OVERLAYS,29.0,6.0,4.833333333333333
EMOJIS,6.0,5.0,1.2
PASTEL COLORS,,5.0,
PRODUCT IMAGES,,6.0,
FONT STYLES AND COLORS,,1.0,
VOCAL BLEND,8.0,,
ACOUSTIC GUITAR BACKGROUND,8.0,,
SONG SNIPPET,9.0,,
HARMONIES,9.0,,
OVERALL PITCH CHARACTER,9.0,,
BREATHY VOCAL DELIVERY,1.0,,
LEAD VOCALS,8.0,,
BASS GUITAR,8.0,,
BACKING VOCALS,9.0,,
MUSICAL PHRASE,1.0,,
THE BEACH BOYS,9.0,,
BRAND AMBASSADOR,8.0,,
MAKEUP LOOK,7.0,,
HAIRSTYLING,7.0,,
INDOOR BACKGROUND,6.0,11.0,0.5454545454545454
TEXT ELEMENTS,15.0,,
GRAPHICAL ELEMENTS,6.0,,
RAP SONG AUDIO,1.0,1.0,1.0
SOCIAL HANDLE,16.0,,
SOCIAL MEDIA PLATFORM,7.0,,
ACCESSORIES,13.0,,
COSMETIC BRAND,8.0,,
RAP LYRICS,17.0,6.0,2.8333333333333335
RAP SUBGENRE,1.0,,
MUSICAL INTONATION,8.0,,
ENTERTAINMENT VENUE,9.0,,
POSTERS AND SIGNS,8.0,,
NATHANIEL HUGHES,7.0,,
FLYER,7.0,,
PURPLE LIGHTING,8.0,,
THE AXE GAME,7.0,,
NEON SIGNS,8.0,,
HAT WITH LOGO,7.0,,
T-SHIRT GRAPHIC,1.0,,
"BRANSON, MISSOURI",8.0,,
COOKING TUTORIAL,9.0,,
GROUND BEEF,16.0,,
BUFFALO BLUE CHEESE SAUCE,8.0,,
SHREDDED LETTUCE,1.0,,
MEATBALL SCOOPER,7.0,,
HESITATIONS/PAUSES,8.0,,
SOUND OF EXERTION,1.0,,
RECIPE STEPS,8.0,,
VERBAL INSTRUCTIONS,9.0,,
BEIS CARRY-ON LUGGAGE,9.0,7.0,1.2857142857142858
SPONSORSHIP INDICATION,7.0,7.0,1.0
INTERACTION WITH THE PRODUCT,,7.0,
PRESENTATION STRATEGIES,,6.0,
VIDEO TITLE,8.0,6.0,1.3333333333333333
SETTING AND COMPOSITION,,1.0,
AUDIENCE,17.0,15.0,1.1333333333333333
SHAY MITCHELL,7.0,,
MIAMI TRIP,1.0,,
SOFT LIGHTING,8.0,,
ROUND MIRROR,6.0,,
PROMOTIONAL VIDEO,,7.0,
ULTA BEAUTY STORE,,6.0,
JUVIA'S PLACE LIQUID BLUSHLIGHTERS,,7.0,
FINGER SNAPPING GESTURE,,5.0,
BLUSH SHADES,,6.0,
PRODUCT PACKAGING,8.0,11.0,0.7272727272727273
PRODUCT APPLICATION,,13.0,
PRODUCT PRICE,,5.0,
SPEAKER'S VOICE,27.0,14.0,1.9285714285714286
VALENTINE'S DAY THEME,15.0,,
CRAFTING OR DÉCOR SHOWCASE,8.0,,
HEART-SHAPED DECORATION,8.0,,
FEMALE VOICE,23.0,21.0,1.0952380952380953
VALENTINE'S DAY GIFT BASKET,8.0,,
ELLA MENTAL THREADS COMPANY,7.0,,
KITTY ZOOM CAMERA,14.0,,
SQUISHMALLOW,8.0,,
PLASTIC PACKAGING SOUND,6.0,,
CRINKLING SOUNDS,6.0,,
CHILD'S VOICE,6.0,,
GIFT BASKET,1.0,,
PLASTIC PACKAGING,6.0,,
RUSTLING SOUNDS,1.0,5.0,0.2
VALENTINE'S DAY,8.0,,
MAKEUP HACKS,,7.0,
LIPSTICK,,7.0,
COLOR-CHANGING LIPSTICKS,,7.0,
SPANISH LANGUAGE,,5.0,
KISSING/SMACKING SOUNDS,,5.0,
FAINT HUMMING NOISE,,1.0,
LIFESTYLE VIDEO,9.0,,
WARNER'S BRAND,8.0,,
CLOSET SETTING,8.0,6.0,1.3333333333333333
BRA,9.0,,
HASHTAG #WARNERSPARTNER,1.0,,
HAND AND FINGER MOVEMENTS,26.0,23.0,1.1304347826086956
CLOTHING RACK,8.0,7.0,1.1428571428571428
CLOTHING ITEMS,,7.0,
GLOCKENSPIEL,6.0,,
SZA FAN CLUB SECRETARY,,7.0,
CASUAL HOME ENVIRONMENT,,6.0,
LIGHTING FIXTURE,6.0,5.0,1.2
FURNITURE,14.0,5.0,2.8
CLOTHING ITEM,,5.0,
AUDIO OF YOUNG WOMAN,,1.0,
SNAPPING GESTURE,,5.0,
KITCHEN AREA,,5.0,
NEUTRAL/CONFIDENT EXPRESSION,,5.0,
PLAYFUL/ENGAGED EXPRESSION,,6.0,
THOUGHTFUL/SMILING EXPRESSION,,1.0,
BACKGROUND ELEMENTS,8.0,6.0,1.3333333333333333
FANCY FELINE TOY SET,8.0,,
BRANDING,7.0,,
APPEAL STRATEGY,8.0,,
GIFT TAG,7.0,,
WHITE BOW,7.0,,
TEXTUAL ELEMENTS,7.0,,
ILLUSTRATIONS ON THE BOX,7.0,,
BRIGHT COLORS,8.0,,
CARTOON ANIMALS,7.0,,
UPBEAT INSTRUMENTAL TUNE,8.0,,
GLOCKENSPIEL/XYLOPHONE MELODY,8.0,,
SNARE DRUM AND HAND CLAPS,7.0,,
BRASS INSTRUMENTS,7.0,,
LATIN AMERICAN FEEL,8.0,,
MARIMBA MELODY,8.0,,
CONGA DRUMS AND CLAVES,1.0,,
MELODIC MOTIF,,7.0,
RECURRING PATTERN,1.0,7.0,0.14285714285714285
SHIFT IN INSTRUMENTATION,,7.0,
PITCH MOVEMENT,,7.0,
RETURN OF GLOCKENSPIEL/XYLOPHONE,,7.0,
NEW ELEMENTS,,7.0,
OVERALL FEEL,,8.0,
PIANO/KEYBOARD,,7.0,
SUSTAINED STRINGS/SYNTH PADS,,7.0,
MUTED ACOUSTIC GUITAR/UKULELE,,1.0,
GLOCKENSPIEL/XYLOPHONE,,7.0,
MOM-AND-POP CHINESE RESTAURANT,9.0,,
HOUSTON'S CHINATOWN,8.0,,
AMAZING NOODLES,9.0,,
CULINARY EXPLORATION,8.0,,
FOOD PRESENTATION,8.0,,
ENGAGEMENT WITH AUDIENCE,8.0,,
LOCATION HIGHLIGHT,1.0,,
CHOPSTICK GRIP,7.0,,
PLAYFUL INTERACTION,7.0,,
CASUAL AND VIBRANT ENVIRONMENT,9.0,,
SPONSORED CONTENT INDICATORS,18.0,,
MOM AND POP CHINESE RESTAURANT,9.0,,
BOWL OF NOODLES,8.0,,
GESTURE OF LIFTING NOODLES,8.0,,
WARM AND EARTHY COLORS,8.0,,
KOREAN SONG,1.0,,
BRACES UPDATE,9.0,,
EXPRESSIVE FACIAL EXPRESSIONS,8.0,,
VLOG-STYLE AUDIO,9.0,,
BICYCLE,6.0,,
TREES,7.0,,
CLEAR SKY,7.0,,
UPRIGHT POSTURE,7.0,7.0,1.0
RECURRING PATTERNS,8.0,,
ANIMATED FACIAL EXPRESSIONS,,7.0,
STORYTELLING,9.0,,
MILK MAKEUP,,7.0,
MAKEUP ROUTINE,8.0,7.0,1.1428571428571428
VISUAL AND VERBAL CUES,,7.0,
FINAL LOOK,,8.0,
HIGHLIGHTING AND CONTOURING,,7.0,
BLENDING TECHNIQUE,,7.0,
BEAUTY ROUTINE,,7.0,
TIKTOK LOGO,33.0,12.0,2.75
USERNAME,8.0,6.0,1.3333333333333333
SIGNS OF SINCERITY,18.0,,
DRESS BY I AM GIA,,7.0,
BRAND I AM GIA,,6.0,
WALL ART AND FRAMES,,5.0,
TABLE OR DRESSER,,1.0,
CONFIDENT EXPRESSION,,7.0,
SUBTLE SMILE,,6.0,
NEUTRAL EXPRESSION,15.0,6.0,2.5
SOCIAL MEDIA WEEK LIMA,8.0,,
OUTFIT DESCRIPTION,8.0,,
DARK-PATTERNED CARPET,7.0,,
NATURAL LIGHT,22.0,,
CELEBRATORY HAND GESTURE,8.0,,
VOICE OF YOUNG WOMAN,9.0,,
RUSTLING OF CLOTHING,1.0,,
BED WITH BEIGE BEDSPREAD,7.0,,
OUTDOOR BACKGROUND,7.0,,
EYEGLASSES,13.0,4.0,3.25
EARRINGS,8.0,,
LARGE WINDOWS AND DOOR,7.0,,
BLACK PEOPLE,8.0,,
VOCAL TONE AND INFLECTION,8.0,,
SPEECH VOLUME AND PACE,7.0,,
ENTREPRENEURSHIP,8.0,,
ARTS AND ENTERTAINMENT,8.0,,
PANDEMIC,7.0,,
PORCH OR BUILDING FACADE,7.0,,
OOTD THEME,8.0,,
VIBRANT PINK TOP,7.0,,
SMILING EXPRESSION,8.0,,
EXPRESSIVE EYES,7.0,,
INDOOR COLORS,1.0,,
SOCIAL MEDIA HANDLE,24.0,,
WELL PEOPLE,7.0,,
ALO YOGA,7.0,,
GLOSSIER CANVAS TOTE,8.0,,
BACKGROUND HUM,7.0,,
BEEP SOUND EFFECT,6.0,,
OUTFIT,7.0,,
WELL PEOPLE MAKEUP,7.0,,
PLANTING TREES EVENT,1.0,,
AMIKA EVENT,,6.0,
AMIKA,,6.0,
DECORATIVE ELEMENTS,16.0,5.0,3.2
CUSTOM NAIL POLISH,,6.0,
GOODIE BAG,,1.0,
EVENT ATMOSPHERE,,7.0,
INTERACTIONS WITH GUESTS,,7.0,
EVENT CONCLUSION,,7.0,
BRAND LOGO,7.0,6.0,1.1666666666666667
HAIR PRODUCTS,,6.0,
BRAND TESTIMONIALS,,6.0,
FLOWERS AND TREATS,,6.0,
BRAID BAR,,6.0,
MANICURE STATION,,6.0,
PARTNER,,6.0,
CAKE,,6.0,
HAUL VIDEO,,1.0,
EVENT INTRODUCTION,,7.0,
AUDIO PATTERN,8.0,,
PITCH RANGE,8.0,,
CURLY SILVER HAIR,8.0,,
TIKTOK LOGO AND WATERMARK,7.0,,
SONG LYRICS,7.0,,
PIANO ACCOMPANIMENT,7.0,,
LYRICS TRANSCRIPT,,6.0,
STEADY SPEECH RATE,,5.0,
REPETITIVE STRUCTURE,7.0,5.0,1.4
PASSIONATE LOVE SONG,,6.0,
NO DISTINCT NOISE SOURCES,,1.0,
SILENCE PERIOD,,5.0,
ROO,8.0,,
COZY LIVING SPACE,8.0,,
OUTFIT SHOWCASE,9.0,,
HOUSEHOLD PRODUCTS,7.0,,
RUG,6.0,,
SHELVING,6.0,,
LIGHT-COLORED WOOD FLOORING,6.0,,
JINGLE,1.0,,
MODERN LAMP,6.0,,
PHONE COMPARISON,8.0,,
S22 ULTRA,8.0,,
