,HighWeight,LowWeight,RelativeWeight
SHIMMERY EYE MAKEUP,,7.0,
SPF,8.0,,
PEACH-COLORED SWEATSHIRT,7.0,,
SOCIAL MEDIA PLATFORM,7.0,,
PRODUCT VISIBILITY,7.0,,
HAND MOVEMENTS,32.0,5.0,6.4
CALM SETTING,8.0,,
BRAND PACKAGING,,7.0,
WAKING UP,8.0,,
DRESS BY I AM GIA,,7.0,
POP SONG,38.0,,
WORKOUT CLOTHES,7.0,,
DJ SETUP,,6.0,
NEUTRAL/PLEASANT EXPRESSION,7.0,,
SNAPPING GESTURE,,5.0,
FEMALE VOCAL MELODY,1.0,,
MULTITASKING,8.0,,
DECORATIVE BACKGROUND,7.0,,
PINK VELVET CHAIR,7.0,,
FASHION TIPS,8.0,,
DAILY DIARIES VLOG,9.0,,
HAIR STYLING TECHNIQUE,17.0,,
TILED BACKGROUND,1.0,,
LAUGH,1.0,1.0,1.0
SPANISH LANGUAGE AUDIO,8.0,,
SAM'S CLUB,,6.0,
BARGAIN SERIES,8.0,,
TAYLOR SWIFT CUPCAKES,7.0,,
DAY IN THE LIFE VLOG,9.0,,
FASHION SHOWCASE,,7.0,
MORNING ROUTINE VLOG,9.0,,
GRADUATION ATTIRE,9.0,,
MIRROR,13.0,18.0,0.7222222222222222
HAND AND FINGER MOVEMENTS,26.0,17.0,1.5294117647058822
CASUAL ATTIRE,37.0,7.0,5.285714285714286
HEALTH ADVICE,9.0,,
NON-VERBAL CUES,7.0,,
PITCH VARIATION,16.0,6.0,2.6666666666666665
TEXT OVERLAY,352.0,128.0,2.75
EYEBROW ENHANCEMENT,8.0,,
ENTHUSIASM AND ENGAGEMENT,7.0,,
SPONSORED VIDEO,1.0,,
PARENTING TIPS THEME,,7.0,
STANDING AND MOVING,8.0,,
LIPSTICK APPLICATION,8.0,,
PARADE,8.0,,
MILK MAKEUP,,7.0,
HAIR STYLING GESTURE,,6.0,
ENTREPRENEURSHIP,8.0,,
HAND GESTURE,93.0,42.0,2.2142857142857144
HALO GLOW WANDS,,7.0,
HIP-HOP SONG WITH FEMALE VOCALIST,,1.0,
ENGAGEMENT,,6.0,
MIRROR SELFIE,7.0,7.0,1.0
CARDBOARD BOX,7.0,,
INDOOR SETTING,427.0,74.0,5.77027027027027
HESITATIONS,4.0,2.0,2.0
MINIMAL MOVEMENT,6.0,,
AUDIENCE INTERACTION,9.0,,
LIGHT-COLORED SWEATER,7.0,,
TIKTOK WATERMARK,122.0,36.0,3.388888888888889
"FOURTH STREET, BERKELEY",7.0,,
ARMANI BEAUTY LUMINOUS SILK FOUNDATION,8.0,,
UPBEAT BACKGROUND MUSIC,31.0,,
INTERACTIVITY AND ENGAGEMENT STRATEGY,9.0,,
ENTHUSIASM,32.0,,
MAKEUP HACKS,8.0,,
THE KNOT DR. DETANGLING HOT AIR BRUSH,,7.0,
LIGHT PINK HOODIE,7.0,,
FOXTAL PRODUCTS,8.0,,
BLENDING TECHNIQUE,,7.0,
NON-VERBAL SOUNDS,1.0,2.0,0.5
MEMORIAL DAY,7.0,,
TEACHING EXPERIENCE,9.0,,
BIOHAZARD PROP,7.0,,
NOT A PAID SPONSORSHIP,9.0,,
HEAD AND EYE MOVEMENTS,51.0,13.0,3.923076923076923
LYRICS,33.0,1.0,33.0
COMFORT,8.0,,
BRUNCH EXPERIENCE,9.0,,
GLAMOROUS SETTING,8.0,,
UNBOXING ACTIVITY,8.0,6.0,1.3333333333333333
AWARDS AND FESTIVAL LOGOS,1.0,,
GOLD NECKLACE,12.0,,
HOME FITNESS ROUTINES,8.0,,
PERSONAL ENVIRONMENT,8.0,,
EXERCISE EQUIPMENT,8.0,,
TOY ASSEMBLY PROCESS,9.0,,
AMERICAN ACCENT,37.0,,
VIDEO FRAME,,1.0,
HOME ENVIRONMENT,8.0,,
SATISFACTION EXPRESSION,8.0,,
FEMALE SINGER,17.0,,
SPONSORSHIP INDICATORS,35.0,20.0,1.75
ANIMATED FACIAL EXPRESSIONS,,7.0,
HAND GESTURES,174.0,25.0,6.96
HAIR STYLING DEMONSTRATION,8.0,,
CLOTHING WITH LOGO,7.0,,
ROSA,9.0,,
MAKEUP THEME,,7.0,
EYE AND HEAD MOVEMENTS,130.0,25.0,5.2
NECKLACE WITH CROSS PENDANT,,5.0,
HEALTHY HAIRCARE,9.0,,
LATTE,1.0,,
BATHROOM SETTING,40.0,6.0,6.666666666666667
KITCHEN SETTING,40.0,,
RAP SONG AUDIO,1.0,1.0,1.0
SUBTLE SMILE,,6.0,
OUTDOOR FOREST SETTING,8.0,,
OSEA STORE,8.0,,
SPONSORSHIP INDICATIONS,7.0,7.0,1.0
GESTURES,56.0,6.0,9.333333333333334
TOOTHBRUSH,8.0,,
VISUAL AND AESTHETIC STYLE,,5.0,
GIORGIO ARMANI MY WAY PERFUME,6.0,,
PAID PROMOTION LABEL,7.0,,
CALM DEMEANOR,8.0,,
CHILD'S VOICE,6.0,,
ANTICIPATION EXPRESSION,7.0,,
PITCH FLUCTUATIONS,8.0,,
ULTRA VIOLETTE QUEEN SCREEN,8.0,,
SOCIAL MEDIA PRESSURE,8.0,,
HOME INTERIOR,,6.0,
ARM AND HAND MOVEMENTS,8.0,,
CONAIR,,6.0,
MAKEUP PRODUCT,9.0,,
AUDIO OF YOUNG WOMAN,,1.0,
FEMALE VOCALIST,32.0,1.0,32.0
BRAND AMBASSADOR,8.0,,
FASHION TRANSFORMATION THEME,,7.0,
VOCAL TONE,8.0,,
SLEEPWEAR,18.0,,
INGREDIENTS,8.0,,
LIGHT PINK TOP,,5.0,
WIG OR HAIRPIECE,8.0,,
NECKLACE,7.0,,
ARTICULATION,9.0,,
CASUAL OUTFIT,15.0,,
WHITE SHOES,6.0,,
CAPTIONS,,6.0,
FAKE EYELASHES,8.0,,
EYES,8.0,,
DILL,6.0,,
ALO YOGA,7.0,,
SOCIAL MEDIA TAG,1.0,,
BENDING AND REACHING,8.0,,
SPEECH VOLUME AND PACE,7.0,,
SILVER FOIL,,6.0,
BRACES UPDATE,9.0,,
WOODY SANDALWOOD PRODUCT,7.0,,
PLAYFUL INTERACTION,7.0,,
VISUAL AND VERBAL CUES,,7.0,
BRIGHT LIGHTING,23.0,7.0,3.2857142857142856
MONTCLAIR,7.0,,
MOTHERHOOD CHALLENGES,9.0,,
JAM JAR WINES,8.0,,
COZY LIVING SPACE,8.0,,
WELLNESS THEME,9.0,,
PEACE SIGN,8.0,6.0,1.3333333333333333
DEMONSTRATION,8.0,7.0,1.1428571428571428
VISUAL EMPHASIS,7.0,,
LARGE CARDBOARD BOX,7.0,,
TRANSPORTATION PLANNING,8.0,,
YOUNG CHILD,9.0,,
CURLY SILVER HAIR,8.0,,
Y2K THEME PARTY,,7.0,
TOFU PACKAGE,8.0,,
THE WESLEY,8.0,,
REAL ESTATE MARKETING,,8.0,
NOTEBOOK OR TABLET,7.0,,
CRANIAL WAVE FACIAL,8.0,,
HEAD MOVEMENT,28.0,23.0,1.2173913043478262
AMAZON COAT RACK,,7.0,
BIRTHDAY CELEBRATION,,7.0,
URBAN BACKGROUND,7.0,,
DRUGSTORE PRODUCTS,15.0,,
EMOTIONS DISPLAYED,8.0,,
HIGH AUTHENTIC VIDEO,10.0,1.0,10.0
VERBAL PROMOTION,7.0,,
LEG STRENGTH,8.0,,
CRINKLING SOUNDS,6.0,,
POP SONG AUDIO,2.0,,
AUDIO ELEMENTS,,7.0,
USER ENGAGEMENT,,6.0,
BLOW-DRYING BRUSH,8.0,,
AUDIO CONTENT,35.0,,
TUTORIAL VIDEO,9.0,,
HEAD MOVEMENTS,29.0,30.0,0.9666666666666667
WHITE CAST,7.0,,
ROMANTIC MOMENT,9.0,,
DELTA APP,7.0,,
REGGAETON AUDIO,,1.0,
AUDIENCE,26.0,6.0,4.333333333333333
BODY POSTURE,32.0,14.0,2.2857142857142856
PRODUCT,58.0,,
BROWN JACKET,8.0,,
SIGNS OF ENTHUSIASM,7.0,7.0,1.0
VALENTINE'S DAY THEME,8.0,6.0,1.3333333333333333
MARKETING PROFESSIONAL,9.0,,
LIGHT BLUE TOP,1.0,,
MOM-AND-POP CHINESE RESTAURANT,9.0,,
HALLWAY OR ENTRANCE AREA,,6.0,
PHONE CALL AUDIO,,7.0,
DAY IN MY LIFE VLOG,10.0,,
LIGHTING,47.0,,
GORGEOUS GOING OUT DRESS,,7.0,
SPONSORSHIP STRATEGIES,47.0,21.0,2.238095238095238
MENTAL HEALTH DISCUSSION,9.0,,
PROMOTIONAL BACKDROP,7.0,,
MAKEUP SCENARIO,8.0,,
PHO DISH,9.0,,
HAIRSTYLING,7.0,,
THEMED EVENT,8.0,,
KITCHEN BACKDROP,8.0,,
GRAND LAKE KITCHEN,8.0,,
RETAIL PARTNERSHIP,,6.0,
LIFESTYLE VIDEO,9.0,,
BABY,17.0,,
TWINS,9.0,8.0,1.125
SETUP ACTIVITY,,6.0,
TRANSFORMATION NARRATIVE,8.0,,
VOCAL EXPRESSIONS,8.0,,
FEMALE NARRATOR,9.0,,
TORTILLA,1.0,,
ENGAGING DEMEANOR,8.0,,
FEMALE SPEAKER,58.0,9.0,6.444444444444445
VITALITY HARVEST PRODUCT,8.0,,
FAST SPEECH RATE,7.0,,
SKINCARE PRODUCTS,22.0,,
WORKOUT SESSION,9.0,,
PINK SCRUNCHIE,8.0,,
CONTENT FOCUS,1.0,,
POSITIVE MESSAGE,,6.0,
AMAZING NOODLES,9.0,,
HOME-LIKE BACKGROUND,9.0,,
COZY AMBIANCE,7.0,,
POSITIVE EMOTIONAL STATE,20.0,7.0,2.857142857142857
AUDIO EFFECTS,24.0,9.0,2.6666666666666665
MEASURING CUP,7.0,,
INDOOR RESTAURANT SETTING,8.0,,
EMOTIONAL STATES,9.0,,
NEST WITH ME DAY 1,9.0,,
JACK SKELLINGTON SNOW GLOBE,8.0,,
HAIR PRODUCT,8.0,,
WHITE KITCHEN POT,7.0,,
CASUAL ENVIRONMENT,,6.0,
PARTY ELEMENTS,,1.0,
POSTURE AND MOVEMENTS,8.0,,
PRODUCT SHOWCASE,,8.0,
VLOG-STYLE FORMAT,10.0,,
E.L.F. COSMETICS,,7.0,
BAY AREA,8.0,,
PRODUCT INTERACTION,31.0,21.0,1.4761904761904763
OUTFITS AND ACCESSORIES,8.0,,
LARGE WHITE MUG,6.0,,
BEAUTY ROUTINE,,7.0,
CUSTOM NAIL POLISH,,6.0,
TIKTOK USERNAME AND LOGO,,7.0,
AFRO NATION WEEKEND,,8.0,
CLOTHING ITEMS,8.0,,
VISUAL DESCRIPTION,8.0,7.0,1.1428571428571428
HUMOR,1.0,,
FASHION HACK,9.0,,
INDOOR BACKGROUND,12.0,5.0,2.4
CAT,8.0,6.0,1.3333333333333333
NON-VERBAL VOCAL SOUNDS,36.0,7.0,5.142857142857143
BEAUTY BLOGGING GENRE,7.0,,
MOVEMENT,8.0,,
COFFEE PRODUCT,7.0,,
SUNDAY VIBES,,6.0,
MENTAL HEALTH TOPIC,9.0,,
FEMALE VOCALS,9.0,,
WARM LIGHTING,19.0,,
DENIM SHORTS,8.0,,
PRODUCT HANDLING,15.0,7.0,2.142857142857143
GREEN VINTAGE VOLKSWAGEN CAMPER VAN,,7.0,
LARGE ICED BEVERAGE,7.0,,
NATURAL LIGHT,14.0,6.0,2.3333333333333335
CASUAL HOME SETTING,7.0,6.0,1.1666666666666667
WELL PEOPLE MAKEUP,7.0,,
NATURAL LIGHTING,17.0,6.0,2.8333333333333335
BRANDED BOX,7.0,,
WOMAN'S VOICE,9.0,,
AUDIENCE ENGAGEMENT,34.0,6.0,5.666666666666667
VALENTINE'S DAY SELF-CARE THEME,8.0,,
OVERALL MOVEMENT,,7.0,
ORGANIZATION ACTIVITY,,6.0,
PROMOTIONAL TONE,,7.0,
BART,8.0,,
OOTD THEME,8.0,,
FANCY FELINE TOY SET,8.0,,
NEUTRAL TONES,48.0,,
CONFIDENT EXPRESSION,,7.0,
SPONSORSHIP CONSIDERATIONS,1.0,,
EXCLAMATION,7.0,,
CLOTHING RACKS,6.0,1.0,6.0
INTERACTION WITH THE PRODUCT,,7.0,
MALE VOCALIST SONG,1.0,,
GUESTS,,6.0,
PRODUCT INTRODUCTION & INTERACTION,8.0,,
FRYING PAN,7.0,,
NOSTALGIA COTTON CANDY & SNOW CONE MAKER,,7.0,
SUSTAINABLE FASHION,8.0,,
FEMALE INDIVIDUAL LEFT,8.0,,
GRADUATION BACKDROP,7.0,,
COLOR-CHANGING LIPSTICKS,7.0,,
PRODUCT INTRODUCTION,41.0,19.0,2.1578947368421053
ROO,8.0,,
MAGAZINE OR BOOKLET,6.0,,
SELFIE POSITION,8.0,,
HEADBAND,,6.0,
MAKEUP LOOK,7.0,,
SPONSORED CONTENT INDICATORS,12.0,6.0,2.0
BEDROOM SETTING,,6.0,
STRETCHING AND GETTING UP,8.0,,
SPONSORED COMPONENT,7.0,,
INSTAGRAM STORIES,7.0,,
PINXIES STAR WISH TOWER,9.0,,
SILENCES,17.0,11.0,1.5454545454545454
PRODUCT BRAND,,7.0,
POSE AND POSTURE,,6.0,
STORYTIME VLOG,9.0,,
STARBUCKS,21.0,,
TIKTOK OVERLAY,,7.0,
VINTAGE CLOTHING,8.0,,
FEMALE VOCAL,1.0,,
LOW AUTHENTIC VIDEO,1.0,10.0,0.1
SMILING EXPRESSION,16.0,,
WHITE LONG-SLEEVE TOP,8.0,,
GREEN OUTFIT,9.0,,
INDOOR BATHROOM SETTING,9.0,,
CULINARY EXPLORATION,8.0,,
VIEWER ENGAGEMENT,8.0,7.0,1.1428571428571428
OVERALL DEMEANOR,10.0,,
CHIC PRESENTATION,,7.0,
COSMETIC BRAND,8.0,,
PACKAGE,8.0,,
BAKING PAN,7.0,,
WHITE TOP,16.0,,
BRIGHT ENVIRONMENT,7.0,,
STYLISH DRESS,,6.0,
CRUMBL COOKIES,7.0,,
MARBLE TABLE,7.0,,
PERSONALIZED TOUCHES,7.0,,
PERSONAL TIME,8.0,,
EMOTIONAL STATE AND DEMEANOR,18.0,7.0,2.5714285714285716
RUSHED #OOTD TEXT,7.0,,
ENJOYMENT EXPRESSION,9.0,,
SEATTLE FOREST SETTING,,7.0,
OUTDOOR SETTING,48.0,13.0,3.6923076923076925
SYMMETRY BRAND,,6.0,
BOWL OF PHO,8.0,,
CHRISTMAS TREE,,6.0,
GENUINE SMILE,9.0,,
HIP-HOP SONG,,6.0,
AMUSED EXPRESSION,8.0,,
WOODY SANDALWOOD PERFUME,,7.0,
FOOD AND DRINK PREPARATION,8.0,,
PACKING AND ORGANIZING,8.0,,
CELEBRATORY HAND GESTURE,,6.0,
SHAMPOO BOTTLE,7.0,,
ATHLETIC SHOES,7.0,,
SZA FAN CLUB SECRETARY,,7.0,
OOTN CLIP,9.0,,
GRAPHIC TEXT AND ICONS,7.0,,
EYE MOVEMENT,28.0,24.0,1.1666666666666667
MAKEUP DISCUSSION,8.0,,
THOUGHTFUL/CURIOUS EXPRESSION,,6.0,
MORNING ROUTINE,34.0,7.0,4.857142857142857
FOOD PRESENTATION,8.0,,
DEMONSTRATION AND INTERACTION,6.0,,
BLACK PEOPLE,8.0,,
FEMALE INFLUENCER,994.0,285.0,3.487719298245614
LEMON BOURBON,7.0,,
NEUTRAL/FOCUSED EXPRESSION,,6.0,
MOTIVATIONAL TONE,,1.0,
DISCOMFORT,22.0,,
HAIRCARE TUTORIAL,9.0,,
FACIAL EXPRESSIONS,365.0,102.0,3.5784313725490198
TIKTOK LOGO,39.0,12.0,3.25
BLUE AND GOLD STOLES,8.0,,
SMILING/BRIGHT EXPRESSION,8.0,,
MUSIC,18.0,6.0,3.0
CAMERA MOVEMENT,8.0,,
CARPETED FLOOR,5.0,,
ACCESSORIES,13.0,,
CREATIVE DISPLAY,8.0,,
RETAIL STORE AISLE,,7.0,
OVERLAY TEXT,8.0,6.0,1.3333333333333333
MAKEUP PRODUCTS,17.0,15.0,1.1333333333333333
UPBEAT MUSIC,35.0,7.0,5.0
EYE MOVEMENTS,46.0,31.0,1.4838709677419355
DANCE SEQUENCE,7.0,,
RELATIONSHIP DISCUSSION,,7.0,
HANGERS,6.0,,
BACKGROUND VOCALS,15.0,,
HEART DESIGN,,6.0,
HAIRSTYLE THEME,8.0,,
ENGAGEMENT AND EMPHASIS,,7.0,
SPONSORED CONTENT,22.0,10.0,2.2
TIKTOK USERNAME,72.0,16.0,4.5
BEIS CARRY-ON LUGGAGE,9.0,7.0,1.2857142857142858
HALLOW: PRAYER & MEDITATION,7.0,,
YOUTUBE CHANNEL,21.0,,
MORNING VLOG,,7.0,
CONTENT INTEGRATION,9.0,,
BLUE JEANS,8.0,,
FINGER HEART GESTURE,8.0,,
SLIGHT SMILE,,6.0,
COZY ROOM,8.0,7.0,1.1428571428571428
BACKGROUND ELEMENTS,1.0,6.0,0.16666666666666666
DRINK WITH STRAW,7.0,,
TAYLOR SWIFT MUSIC,7.0,,
GLASSES,27.0,12.0,2.25
NEUTRAL FACIAL EXPRESSION,16.0,,
THOUGHTFUL EXPRESSION,15.0,,
SILENCES AND PAUSES,85.0,18.0,4.722222222222222
CLEMENTINE BISOU,8.0,,
KIWICO CRATES,9.0,,
FACIAL EXPRESSIONS AND MOVEMENTS,8.0,,
PATTERNS/SIGNALS,7.0,,
PEACE SIGN GESTURE,23.0,1.0,23.0
GLOWING SKIN,8.0,,
WHITE DRESS,8.0,,
SIGNS OF SINCERITY,18.0,7.0,2.5714285714285716
R&B SONG,,7.0,
SHOELACE,8.0,,
INFLUENCER INTERACTION,,7.0,
PET CARE THEME,9.0,,
HAIR AND MAKEUP STYLES,8.0,,
AUDIO PRESENTATION,1.0,,
CARDIOVASCULAR FITNESS,8.0,,
SIGH,,6.0,
CAT SCENE,,6.0,
NEUTRAL EXPRESSION,15.0,6.0,2.5
ZANA BAYNE X PARADE,8.0,,
MULTIPLE RINGS,6.0,,
SINCERITY,61.0,,
WIRELESS EARBUDS,7.0,,
PLANTING TREES EVENT,1.0,,
CAR SETTING,16.0,,
DECORATED SPACE,,6.0,
DENIM JACKET,1.0,,
KIMCHI RICE BOWL,7.0,,
BEDDING,6.0,5.0,1.2
CHOPSTICK GRIP,7.0,,
HASHTAG #WARNERSPARTNER,1.0,,
POSTURE,40.0,8.0,5.0
ACTIVITY KITS,,7.0,
VOCAL INFLECTIONS,8.0,,
SHOPPING EMOJIS,1.0,,
EXPRESSIVE GESTURES,8.0,7.0,1.1428571428571428
COMPACT STORAGE SOLUTIONS,8.0,,
EXPRESSIVE FACIAL EXPRESSIONS,8.0,,
PRESENTATION STRATEGIES,,6.0,
KOSAS PRODUCT,9.0,,
BRIGHT PINK TOP,6.0,,
CONTENT EXPRESSION,,6.0,
OUTFIT SHOWCASE,9.0,,
RED HAIR,6.0,,
CALL-TO-ACTION,1.0,,
SEATED POSITION,1.0,,
CLOTHING STYLES,,7.0,
TUTORIAL/DEMONSTRATION,8.0,,
DEMONSTRATION STRATEGY,8.0,,
SHOPPING,8.0,,
OPEN EYES,7.0,,
SOCIAL HANDLE,16.0,,
SPANISH SONG,2.0,,
TIKTOK USERNAME WATERMARK,8.0,,
CAR INTERIOR SETTING,7.0,,
FEMALE HAND,,7.0,
LIGHT-COLORED GARMENT,6.0,,
SPEECH RATE,116.0,18.0,6.444444444444445
HANDWRITTEN NOTE,1.0,,
CLASSIC STAPLE PIECES,,7.0,
BOWL OF NOODLES,8.0,,
EMOTIONAL STATE,14.0,7.0,2.0
UPCOMING REVEAL,8.0,,
MAKEUP TUTORIAL,27.0,,
SPONSORED CONTENT FOCUS,7.0,,
POSITIVITY AND ENGAGEMENT,1.0,,
WELL PEOPLE,7.0,,
PENDANT NECKLACE,8.0,,
GLOSSIER CANVAS TOTE,8.0,,
FEMALE VOICE,23.0,21.0,1.0952380952380953
OUTFIT,16.0,,
TIKTOK LOGO AND WATERMARK,7.0,,
PRODUCT FEATURE MOMENTS,29.0,18.0,1.6111111111111112
SPF 50+,7.0,,
ERAS TOUR,7.0,,
SURPRISED EXPRESSION,7.0,,
PERSONAL BRANDING,1.0,,
TIKTOK BRANDING,7.0,1.0,7.0
OLAMONDE GOURMAND SKIN SCENT COLLECTION,8.0,,
SEATED POSTURE,14.0,6.0,2.3333333333333335
RELAXED POSTURE,15.0,1.0,15.0
DIY LASH EXTENSIONS,8.0,,
MENU,14.0,,
FEMALE INFLUENCERS,,7.0,
LOWER EAST SIDE (LES),8.0,,
FORWARD GAZE,7.0,,
INFLUENCER VIDEO,,7.0,
SPONSORED PRODUCT,14.0,,
GOODIE BAG,,1.0,
CASUAL POSTURE,16.0,,
VISUAL AND TEXTUAL EMPHASIS,,7.0,
CASUAL AT-HOME ENVIRONMENT,7.0,,
USER REQUEST,7.0,,
DYNAMIC FACIAL EXPRESSIONS,16.0,,
EYE CONTACT,43.0,7.0,6.142857142857143
COMMUNICATION STYLE,8.0,,
BRACELETS,7.0,,
GOLDEN RETRIEVER,9.0,,
SUBSCRIPTION BOX,,7.0,
TREADMILL EXERCISE,8.0,,
ENGAGEMENT STRATEGIES,17.0,,
FINAL LOOK,,7.0,
MALE COMPANION,,7.0,
GYM EQUIPMENT,8.0,,
AMIKA EVENT,,6.0,
WALK-IN CLOSET,,6.0,
MAKEUP ROUTINE,8.0,7.0,1.1428571428571428
GRAPHICAL ELEMENTS,6.0,,
EYEGLASSES,18.0,,
APPLICATION MOMENT,8.0,,
ENGAGED AND FOCUSED,9.0,,
DEMEANOR,9.0,,
PLAYFUL/ENGAGED EXPRESSION,,6.0,
UPBEAT JINGLE,,5.0,
COOKING TUTORIAL,9.0,,
BRA,9.0,,
SPONSORED POST,7.0,,
FEMININE VOICE,,1.0,
SUNSCREEN PRODUCT,8.0,,
PHOTO LAB,8.0,,
ARMANI BEAUTY LUMINOUS SILK CONCEALER,1.0,,
PRESENCE OF ENTHUSIASM,7.0,,
