entity,high_weights,high_counts,low_weights,low_counts,relative_weight,relative_count
MODERATELY SLOW PACE,8.0,1.0,0.0,0.0,inf,inf
HAIR ADJUSTMENT,9.0,1.0,21.0,3.0,0.42857142857142855,0.3333333333333333
SIMPLE SETTING,7.0,1.0,0.0,0.0,inf,inf
SQUAT POSITION,8.0,1.0,0.0,0.0,inf,inf
FINGER MOTION,7.0,1.0,0.0,0.0,inf,inf
CLEAN AUDIO,6.0,1.0,0.0,0.0,inf,inf
CONSISTENT FLOW OF SPEECH,9.0,1.0,0.0,0.0,inf,inf
RETRO DESIGN,0.0,0.0,9.0,1.0,0.0,0.0
STRETCH,7.0,1.0,0.0,0.0,inf,inf
FINGER POSITIONING,14.0,1.0,6.0,1.0,2.3333333333333335,1.0
BEACH,7.0,1.0,0.0,0.0,inf,inf
COLOR-CHANGING LIPSTICKS,8.0,1.0,0.0,0.0,inf,inf
REFLECTIONS,0.0,0.0,6.0,1.0,0.0,0.0
INTIMATE SPACE,8.0,1.0,0.0,0.0,inf,inf
MID-RANGE PITCH,23.0,3.0,7.0,1.0,3.2857142857142856,3.0
STEP-BY-STEP GUIDE,0.0,0.0,9.0,1.0,0.0,0.0
MOVING ON THEME,7.0,1.0,0.0,0.0,inf,inf
MUSIC PERFORMANCE,9.0,1.0,0.0,0.0,inf,inf
SUN VISOR,5.0,1.0,0.0,0.0,inf,inf
WALKING PATHS,7.0,1.0,0.0,0.0,inf,inf
STEVE MADDEN FILTER,0.0,0.0,7.0,1.0,0.0,0.0
PAST TRAVEL EXPERIENCES,7.0,1.0,0.0,0.0,inf,inf
SMILING WITH LIPS PURSED,8.0,1.0,0.0,0.0,inf,inf
TRANSPARENT PLASTIC WRAPPING,7.0,1.0,0.0,0.0,inf,inf
SHOPPING AISLE ATMOSPHERE,0.0,0.0,8.0,1.0,0.0,0.0
DEMONSTRATING HAIR AND MAKEUP STYLES,9.0,1.0,0.0,0.0,inf,inf
WHITE OR LIGHT-COLORED WALLS,7.0,1.0,0.0,0.0,inf,inf
SPANISH LANGUAGE,9.0,1.0,0.0,0.0,inf,inf
GENUINE PRESENCE,7.0,1.0,0.0,0.0,inf,inf
OUTDOOR FURNITURE,7.0,1.0,0.0,0.0,inf,inf
MAKING BREAKFAST,8.0,1.0,0.0,0.0,inf,inf
CONTENT INTEGRATION,7.0,1.0,0.0,0.0,inf,inf
NEON LIGHTING,7.0,1.0,0.0,0.0,inf,inf
VOICEOVER,9.0,1.0,0.0,0.0,inf,inf
REPETITIVE LYRICS,15.0,2.0,7.0,1.0,2.142857142857143,2.0
STRETCHING,7.0,1.0,7.0,1.0,1.0,1.0
UNBOXING,9.0,1.0,17.0,2.0,0.5294117647058824,0.5
WALL CLOCK,5.0,1.0,0.0,0.0,inf,inf
NORTH AMERICAN ACCENT,6.0,1.0,0.0,0.0,inf,inf
BROAD SMILE,9.0,1.0,9.0,1.0,1.0,1.0
LIGHT PINK SWEATSHIRT,8.0,1.0,0.0,0.0,inf,inf
PINK VELVET CHAIR,7.0,1.0,0.0,0.0,inf,inf
DIGITAL ALARM CLOCK,0.0,0.0,6.0,1.0,0.0,0.0
SIZZLING,8.0,1.0,0.0,0.0,inf,inf
PLAYFUL TEXT OVERLAY,7.0,1.0,0.0,0.0,inf,inf
WEST VILLAGE,8.0,1.0,0.0,0.0,inf,inf
TREADMILL,8.0,1.0,0.0,0.0,inf,inf
SELFIE,0.0,0.0,8.0,1.0,0.0,0.0
FOOD AND DRINK PREPARATION,8.0,1.0,0.0,0.0,inf,inf
HOOP EARRINGS,7.0,1.0,0.0,0.0,inf,inf
WEIGHT SHIFT,0.0,0.0,7.0,1.0,0.0,0.0
WOMAN'S VOICE,35.0,4.0,0.0,0.0,inf,inf
CONFIDENCE AND SEXUALITY,0.0,0.0,8.0,1.0,0.0,0.0
POSE STRIKING,0.0,0.0,8.0,1.0,0.0,0.0
WHITE WALLS AND DOORS,0.0,0.0,7.0,1.0,0.0,0.0
GYM EQUIPMENT,9.0,1.0,0.0,0.0,inf,inf
LTK LINK,5.0,1.0,0.0,0.0,inf,inf
PLUSH BLANKET,0.0,0.0,6.0,1.0,0.0,0.0
MELODIC CADENCES,0.0,0.0,7.0,1.0,0.0,0.0
MAKEUP,9.0,1.0,0.0,0.0,inf,inf
FIRM GRIP,0.0,0.0,9.0,1.0,0.0,0.0
BREATHING,14.0,2.0,0.0,0.0,inf,inf
LONG FLOWING HAIR,7.0,1.0,0.0,0.0,inf,inf
CONVERSATIONAL MID-RANGE,8.0,1.0,0.0,0.0,inf,inf
PINXIES STAR WISH TOWER,10.0,1.0,0.0,0.0,inf,inf
AUDIO NARRATION,10.0,1.0,0.0,0.0,inf,inf
UNIVERSITY ENTRANCE,8.0,1.0,0.0,0.0,inf,inf
GRAYISH WALL,7.0,1.0,0.0,0.0,inf,inf
NO MUSIC,7.0,1.0,0.0,0.0,inf,inf
COOKIES AND WINE,7.0,1.0,0.0,0.0,inf,inf
ADJUSTING POSITION,0.0,0.0,7.0,1.0,0.0,0.0
WHITE KITCHEN POT,8.0,1.0,0.0,0.0,inf,inf
REVVING ENGINES MIXED WITH SIREN,7.0,1.0,0.0,0.0,inf,inf
CONTEMPORARY SETTING,7.0,1.0,0.0,0.0,inf,inf
FOOD EXPLORATION,18.0,1.0,9.0,1.0,2.0,1.0
MEDIUM SILENCE,29.0,5.0,7.0,1.0,4.142857142857143,5.0
LEVEL INDICATOR 101,0.0,0.0,7.0,1.0,0.0,0.0
STRETCHING AND GETTING UP,8.0,1.0,0.0,0.0,inf,inf
UPPER BODY MOVEMENTS,7.0,1.0,0.0,0.0,inf,inf
INTERACTION WITH PRODUCT,29.0,4.0,8.0,1.0,3.625,4.0
REASSURANCE AND PROTECTION,9.0,1.0,0.0,0.0,inf,inf
SHIFT IN INSTRUMENTATION,6.0,1.0,0.0,0.0,inf,inf
CLEAN AND MINIMALISTIC SETTING,8.0,1.0,8.0,1.0,1.0,1.0
DECORATIVE ITEMS,42.0,6.0,26.0,4.0,1.6153846153846154,1.5
SLEEPWEAR,18.0,1.0,0.0,0.0,inf,inf
CASUAL ATMOSPHERE,31.0,4.0,0.0,0.0,inf,inf
THROW BLANKET,6.0,1.0,0.0,0.0,inf,inf
PERSONAL RENDITION,8.0,1.0,0.0,0.0,inf,inf
RELATABLE CONTENT,0.0,0.0,8.0,1.0,0.0,0.0
MELODIC PHRASES,9.0,1.0,0.0,0.0,inf,inf
HEALTH-CONSCIOUS LIFESTYLE,0.0,0.0,8.0,1.0,0.0,0.0
STAINLESS STEEL TABLES,5.0,1.0,0.0,0.0,inf,inf
PLEASANT AND ENTHUSIASTIC,0.0,0.0,8.0,1.0,0.0,0.0
FADE-IN/FADE-OUT,7.0,1.0,0.0,0.0,inf,inf
ARCHITECTURE,8.0,1.0,0.0,0.0,inf,inf
STAIR RAILINGS,0.0,0.0,6.0,1.0,0.0,0.0
SUBTLE NODS AND TILTS,0.0,0.0,7.0,1.0,0.0,0.0
ZANA BAYNE X PARADE,8.0,1.0,0.0,0.0,inf,inf
GREEN SCARF,9.0,1.0,0.0,0.0,inf,inf
PACKETS,8.0,1.0,0.0,0.0,inf,inf
CHANDELIER,0.0,0.0,7.0,1.0,0.0,0.0
PINK LADY GLOW,7.0,1.0,0.0,0.0,inf,inf
PRODUCT PROMOTION,8.0,1.0,0.0,0.0,inf,inf
SHAKING HEAD,7.0,1.0,0.0,0.0,inf,inf
ENTHUSIASTIC CONCLUSION,9.0,1.0,0.0,0.0,inf,inf
PERSONALIZED TOUCHES,7.0,1.0,0.0,0.0,inf,inf
STEADY GAZE,7.0,1.0,8.0,1.0,0.875,1.0
CASUAL YET ENERGETIC DANCE SEQUENCE,9.0,1.0,0.0,0.0,inf,inf
OTHER PERCUSSION,0.0,0.0,7.0,1.0,0.0,0.0
MODERN URBAN SETTING,0.0,0.0,9.0,1.0,0.0,0.0
BACKGROUND NOISE 30-35 DB,8.0,1.0,0.0,0.0,inf,inf
GRAND LAKE KITCHEN,6.0,1.0,0.0,0.0,inf,inf
AUTO-TUNE,7.0,1.0,7.0,1.0,1.0,1.0
POURING MIXTURE INTO A PAN,8.0,1.0,0.0,0.0,inf,inf
DECORATIVE BOWL,7.0,1.0,0.0,0.0,inf,inf
RIGHT HAND,16.0,2.0,8.0,1.0,2.0,2.0
BEAUTY AND SKINCARE THEME,9.0,1.0,0.0,0.0,inf,inf
BASKET OR CONTAINER,5.0,1.0,0.0,0.0,inf,inf
BUBBLE BATH,8.0,1.0,0.0,0.0,inf,inf
TOOTHBRUSH,9.0,1.0,0.0,0.0,inf,inf
ENERGETIC PRESENTATION,8.0,1.0,0.0,0.0,inf,inf
KEYBOARD,6.0,1.0,0.0,0.0,inf,inf
DOG'S ALERTNESS,0.0,0.0,8.0,1.0,0.0,0.0
CLOSE-UP OF MOUTH,8.0,1.0,0.0,0.0,inf,inf
WINDOW PANE,5.0,1.0,0.0,0.0,inf,inf
PROMOTIONAL ASPECT,8.0,1.0,0.0,0.0,inf,inf
TOILET PAPER HOLDER,6.0,1.0,0.0,0.0,inf,inf
GENTLE GESTURES,8.0,1.0,0.0,0.0,inf,inf
PEACEFUL MOOD,0.0,0.0,8.0,1.0,0.0,0.0
SMALL PAINTING,0.0,0.0,6.0,1.0,0.0,0.0
RETAIL PARTNERSHIP,0.0,0.0,7.0,1.0,0.0,0.0
PRODUCT FEATURE AND CONTEXT,7.0,1.0,0.0,0.0,inf,inf
REFLECTIVE AND EVALUATIVE,8.0,1.0,0.0,0.0,inf,inf
EMOTIONAL STATE,38.0,5.0,0.0,0.0,inf,inf
NOSTALGIA COTTON CANDY & SNOW CONE MAKER,0.0,0.0,10.0,1.0,0.0,0.0
INDOOR ELEMENTS,0.0,0.0,7.0,1.0,0.0,0.0
THUMP,6.0,1.0,0.0,0.0,inf,inf
PRODUCT/BRAND FEATURE,9.0,1.0,0.0,0.0,inf,inf
CONVERSATIONAL PITCH RANGE,8.0,1.0,0.0,0.0,inf,inf
CONFIDENT STRUTTING,0.0,0.0,8.0,1.0,0.0,0.0
THREE-DAY WEEKENDS,5.0,1.0,0.0,0.0,inf,inf
MERCEDES BENZ STADIUM,9.0,1.0,0.0,0.0,inf,inf
LARGE WHITE MUG,8.0,1.0,0.0,0.0,inf,inf
PIANO MELODY,14.0,2.0,0.0,0.0,inf,inf
PRODUCT SWATCHES,6.0,1.0,0.0,0.0,inf,inf
BREAKUP THEME,7.0,1.0,0.0,0.0,inf,inf
BRIGHT YELLOW JACKET,0.0,0.0,8.0,1.0,0.0,0.0
FRIENDLY INTERACTION,0.0,0.0,7.0,1.0,0.0,0.0
WELL-MIXED INSTRUMENTS,8.0,1.0,0.0,0.0,inf,inf
SLOW SPEECH RATE,36.0,4.0,23.0,3.0,1.565217391304348,1.3333333333333333
PROMOTIONAL CONTENT,9.0,1.0,0.0,0.0,inf,inf
CLEAR BLUE SKIES,0.0,0.0,8.0,1.0,0.0,0.0
BRUSHING MOTION,6.0,1.0,6.0,1.0,1.0,1.0
WARM LIGHTING,64.0,8.0,14.0,2.0,4.571428571428571,4.0
WOODEN CABINET,6.0,1.0,0.0,0.0,inf,inf
SKILLET,8.0,1.0,0.0,0.0,inf,inf
THEMATIC ALIGNMENT,7.0,1.0,0.0,0.0,inf,inf
AMAZON,10.0,2.0,0.0,0.0,inf,inf
SAN DIEGO,8.0,1.0,0.0,0.0,inf,inf
HVAC HUM,7.0,1.0,0.0,0.0,inf,inf
PATTERNED PANTS,0.0,0.0,8.0,1.0,0.0,0.0
STUDENT INCIDENT,8.0,1.0,0.0,0.0,inf,inf
BEACHSIDE VIBE,0.0,0.0,8.0,1.0,0.0,0.0
VOLUME ADDITION,0.0,0.0,8.0,1.0,0.0,0.0
CASUAL AND INSTRUCTIONAL VIBE,7.0,1.0,0.0,0.0,inf,inf
GESTURE PATTERNS,0.0,0.0,12.0,2.0,0.0,0.0
BRANDED CLEANING PRODUCT (LYSOL),0.0,0.0,8.0,1.0,0.0,0.0
FINGER SNAPPING MOTION,6.0,1.0,0.0,0.0,inf,inf
FACIAL FRAME ACCENTUATION,5.0,1.0,0.0,0.0,inf,inf
WEEKLY VLOG,6.0,1.0,0.0,0.0,inf,inf
ENGAGEMENT STRATEGY,15.0,2.0,0.0,0.0,inf,inf
PACKAGE,0.0,0.0,14.0,1.0,0.0,0.0
KEYBOARD CHORD,0.0,0.0,8.0,1.0,0.0,0.0
POINTING,8.0,1.0,6.0,1.0,1.3333333333333333,1.0
RELAXED POSTURE,117.0,15.0,57.0,8.0,2.0526315789473686,1.875
AMERICAN ACCENT,47.0,5.0,8.0,1.0,5.875,5.0
FACE,25.0,3.0,0.0,0.0,inf,inf
ABRUPT ENDING,6.0,1.0,0.0,0.0,inf,inf
RIGHT HAND GRASP,7.0,1.0,0.0,0.0,inf,inf
FAST-PACED BEAT,8.0,1.0,0.0,0.0,inf,inf
LIGHT GRAY WALLS,7.0,1.0,0.0,0.0,inf,inf
HEAVY BREATHING,7.0,1.0,0.0,0.0,inf,inf
TORSO AND HEAD MOVEMENT,0.0,0.0,7.0,1.0,0.0,0.0
SNOW GLOBE,9.0,1.0,0.0,0.0,inf,inf
PASSENGER SEAT,7.0,1.0,0.0,0.0,inf,inf
OCCASIONAL GLANCE AT CAMERA,8.0,1.0,0.0,0.0,inf,inf
MAKEUP APPLICATION,45.0,5.0,0.0,0.0,inf,inf
INSECT IMAGES,0.0,0.0,8.0,1.0,0.0,0.0
COLORFUL CLOTHING,0.0,0.0,8.0,1.0,0.0,0.0
TABLE ELEMENTS,5.0,1.0,0.0,0.0,inf,inf
ITINERARY,8.0,1.0,0.0,0.0,inf,inf
EXPRESSIVE EYES,22.0,3.0,0.0,0.0,inf,inf
SPARSE MELODY,7.0,1.0,0.0,0.0,inf,inf
FOCUSED AND NEUTRAL,8.0,1.0,0.0,0.0,inf,inf
CALL-AND-RESPONSE PATTERN,6.0,1.0,0.0,0.0,inf,inf
MENU,8.0,1.0,0.0,0.0,inf,inf
STONE STEPS,0.0,0.0,6.0,1.0,0.0,0.0
LAUGHS/CHUCKLES,13.0,2.0,5.0,1.0,2.6,2.0
SPANISH HARLEM,0.0,0.0,8.0,1.0,0.0,0.0
VENTILATION GRATE,0.0,0.0,5.0,1.0,0.0,0.0
SURPRISE OR REALIZATION,8.0,1.0,0.0,0.0,inf,inf
CLOTHING RACKS,6.0,1.0,7.0,1.0,0.8571428571428571,1.0
STORYTIME VLOG,9.0,1.0,0.0,0.0,inf,inf
MUSIC VOLUME CHANGES,0.0,0.0,6.0,1.0,0.0,0.0
FOUNDATIONAL LAYER,7.0,1.0,0.0,0.0,inf,inf
ECHO EFFECT,19.0,3.0,6.0,1.0,3.1666666666666665,3.0
PERSONAL APPROACH,7.0,1.0,0.0,0.0,inf,inf
DRINKS,7.0,1.0,7.0,1.0,1.0,1.0
DINING SETTING,9.0,1.0,0.0,0.0,inf,inf
LYRICAL STRUCTURE,8.0,1.0,0.0,0.0,inf,inf
BEAUTY VLOGGING GENRE,7.0,1.0,0.0,0.0,inf,inf
NEUTRAL TO PLEASANT EXPRESSION,8.0,1.0,0.0,0.0,inf,inf
EXAGGERATED EXPRESSIONS,0.0,0.0,14.0,2.0,0.0,0.0
BRUSH OR SPONGE,0.0,0.0,6.0,1.0,0.0,0.0
WET HAIR,8.0,1.0,0.0,0.0,inf,inf
CANDLE WARMER,8.0,1.0,0.0,0.0,inf,inf
USERNAME SCARLETTSHADE,0.0,0.0,8.0,1.0,0.0,0.0
FEMALE VOICE,61.0,6.0,77.0,9.0,0.7922077922077922,0.6666666666666666
ELECTRONIC HUMS,0.0,0.0,5.0,1.0,0.0,0.0
FASHION-FOCUSED VIDEO,10.0,1.0,0.0,0.0,inf,inf
FAST BEAT,9.0,1.0,0.0,0.0,inf,inf
LIGHT BEIGE OR CREAM WALLS,6.0,1.0,7.0,1.0,0.8571428571428571,1.0
HAND MOVEMENT,40.0,4.0,22.0,3.0,1.8181818181818181,1.3333333333333333
PRODUCT INTRODUCTION,57.0,8.0,31.0,4.0,1.8387096774193548,2.0
SLOW SPEECH,7.0,1.0,6.0,1.0,1.1666666666666667,1.0
AUDIO COMMANDS,9.0,1.0,0.0,0.0,inf,inf
COMMON AREAS,7.0,1.0,0.0,0.0,inf,inf
UPWARD INFLECTION,96.0,13.0,15.0,2.0,6.4,6.5
REPETITIVE VOCAL SAMPLES,8.0,1.0,0.0,0.0,inf,inf
BABY,18.0,1.0,0.0,0.0,inf,inf
WHITE BOW,7.0,1.0,0.0,0.0,inf,inf
REVEALER SKIN-IMPROVING FOUNDATION,8.0,1.0,0.0,0.0,inf,inf
PUP'S WORLD POTTY PADS,9.0,1.0,0.0,0.0,inf,inf
POURING INGREDIENTS,8.0,1.0,0.0,0.0,inf,inf
UNCLEAR CONSONANTS,0.0,0.0,6.0,1.0,0.0,0.0
WAKING UP,17.0,2.0,8.0,1.0,2.125,2.0
STRIPED TOP,7.0,1.0,0.0,0.0,inf,inf
SIGNS OF DISCOMFORT,7.0,1.0,0.0,0.0,inf,inf
PROMINENT BASSLINE,0.0,0.0,7.0,1.0,0.0,0.0
DRUM MACHINE,13.0,1.0,0.0,0.0,inf,inf
BASS-HEAVY SOUND,0.0,0.0,7.0,1.0,0.0,0.0
ECHOING AUDIO EFFECT,6.0,1.0,0.0,0.0,inf,inf
CURIOSITY AND CONCENTRATION,0.0,0.0,7.0,1.0,0.0,0.0
REFLECTION,7.0,1.0,0.0,0.0,inf,inf
GET READY WITH ME SEGMENT,9.0,1.0,0.0,0.0,inf,inf
OVERALL UPBEAT TONE,9.0,1.0,0.0,0.0,inf,inf
OVERHEAD METALLIC KITCHEN TOOLS,5.0,1.0,0.0,0.0,inf,inf
LOW-PITCHED MALE VOICE,8.0,1.0,0.0,0.0,inf,inf
SINGING AND MUSIC,0.0,0.0,8.0,1.0,0.0,0.0
EMPTY WINE GLASSES,7.0,1.0,0.0,0.0,inf,inf
SYNTHESIZED INSTRUMENTALS,7.0,1.0,0.0,0.0,inf,inf
POSITIVE EXPERIENCE,15.0,2.0,0.0,0.0,inf,inf
CLEAR ARTICULATION,77.0,8.0,9.0,1.0,8.555555555555555,8.0
VISUAL EVIDENCE OF PRODUCT EFFICACY,9.0,1.0,0.0,0.0,inf,inf
PLASTIC RUSTLING,7.0,1.0,0.0,0.0,inf,inf
THREE WOMEN,0.0,0.0,8.0,1.0,0.0,0.0
SLIGHT PITCH DROPS,0.0,0.0,6.0,1.0,0.0,0.0
ENGAGED AND FOCUSED,8.0,1.0,0.0,0.0,inf,inf
AUDIENCE RECOMMENDATIONS,8.0,1.0,0.0,0.0,inf,inf
WIND AND TRAFFIC NOISE,5.0,1.0,0.0,0.0,inf,inf
LONG HAIR,7.0,1.0,0.0,0.0,inf,inf
BEDROOM,8.0,1.0,8.0,1.0,1.0,1.0
EXCITED FACIAL EXPRESSIONS,0.0,0.0,9.0,1.0,0.0,0.0
CEILING FAN,19.0,3.0,0.0,0.0,inf,inf
NATURAL INTEGRATION,7.0,1.0,0.0,0.0,inf,inf
NON-VERBAL VOCALIZATIONS,6.0,1.0,7.0,1.0,0.8571428571428571,1.0
SINK FAUCET,0.0,0.0,7.0,1.0,0.0,0.0
COUNTERTOP,7.0,1.0,7.0,1.0,1.0,1.0
PLATFORMS,0.0,0.0,8.0,1.0,0.0,0.0
VOCAL FRY,8.0,1.0,0.0,0.0,inf,inf
SOCIAL MEDIA TAG,6.0,1.0,0.0,0.0,inf,inf
DESK OR WORKSPACE,8.0,1.0,0.0,0.0,inf,inf
MALE VOCALS,13.0,2.0,16.0,2.0,0.8125,1.0
EXPENSIVE BELONGINGS,0.0,0.0,7.0,1.0,0.0,0.0
PASTEL THEME,8.0,1.0,0.0,0.0,inf,inf
HARD-BOILED EGG GADGET,9.0,1.0,0.0,0.0,inf,inf
CONFIDENT POSING,0.0,0.0,8.0,1.0,0.0,0.0
MENTIONS,0.0,0.0,6.0,1.0,0.0,0.0
HAND MOTION,6.0,1.0,0.0,0.0,inf,inf
CONSISTENT PITCH,0.0,0.0,8.0,1.0,0.0,0.0
PAUSES,34.0,5.0,0.0,0.0,inf,inf
NATURAL SILENCES,8.0,1.0,0.0,0.0,inf,inf
HAIR CARE AND STYLING,0.0,0.0,9.0,1.0,0.0,0.0
SUNNY DAY,16.0,2.0,0.0,0.0,inf,inf
ENGAGING AND PERSUASIVE AUDIO,9.0,1.0,0.0,0.0,inf,inf
WHITE ROBE,8.0,1.0,0.0,0.0,inf,inf
BLOW-DRYING BRUSH,8.0,1.0,0.0,0.0,inf,inf
KITCHEN OR DINING AREA,8.0,1.0,0.0,0.0,inf,inf
SIDE LOCKS AND HANDLES,0.0,0.0,6.0,1.0,0.0,0.0
SPEECH TEMPO,0.0,0.0,8.0,1.0,0.0,0.0
STORE SIGN,8.0,1.0,0.0,0.0,inf,inf
PAUSE AFTER LAUGHTER,7.0,1.0,7.0,1.0,1.0,1.0
POSITIVE TESTIMONIAL,0.0,0.0,9.0,1.0,0.0,0.0
POTTED GREENERY,6.0,1.0,0.0,0.0,inf,inf
SATISFIED EXPRESSION,8.0,1.0,0.0,0.0,inf,inf
AUDIO CLIP,15.0,2.0,17.0,2.0,0.8823529411764706,1.0
GESTURE AND MOVEMENT,8.0,1.0,0.0,0.0,inf,inf
INQUISITIVENESS,0.0,0.0,7.0,1.0,0.0,0.0
PLAYFUL/ENGAGED EXPRESSION,0.0,0.0,9.0,1.0,0.0,0.0
POSITIVE AND ENTHUSIASTIC MOOD,9.0,1.0,0.0,0.0,inf,inf
CO-WASH,8.0,1.0,0.0,0.0,inf,inf
PAUSE LENGTHS,7.0,1.0,0.0,0.0,inf,inf
SUNLIGHT,6.0,1.0,0.0,0.0,inf,inf
EXCLAMATORY HIGH NOTES,0.0,0.0,8.0,1.0,0.0,0.0
HEARTBREAK AND BETRAYAL LYRICS,8.0,1.0,0.0,0.0,inf,inf
CLEAN AND MINIMALISTIC LOOK,7.0,1.0,0.0,0.0,inf,inf
LIGHT FIXTURE,10.0,2.0,0.0,0.0,inf,inf
ALFRED X BODUM COFFEE GRINDER,8.0,1.0,0.0,0.0,inf,inf
SUNDAY VIBES,0.0,0.0,7.0,1.0,0.0,0.0
CONSISTENT RHYTHM,8.0,1.0,0.0,0.0,inf,inf
BEEP SOUND,22.0,4.0,0.0,0.0,inf,inf
POSITIVE EMOTIONAL STATE,70.0,8.0,8.0,1.0,8.75,8.0
SUSPENSEFUL PLOT,8.0,1.0,0.0,0.0,inf,inf
BRAND PARTNERSHIP DECLARATION,7.0,1.0,0.0,0.0,inf,inf
"TOPPER ""4""",7.0,1.0,0.0,0.0,inf,inf
BEAUTY TRANSFORMATION,9.0,1.0,9.0,1.0,1.0,1.0
CHEERFUL FACIAL EXPRESSIONS,0.0,0.0,9.0,1.0,0.0,0.0
CAT,8.0,1.0,8.0,1.0,1.0,1.0
TALL TREES,5.0,1.0,9.0,1.0,0.5555555555555556,1.0
KITCHEN BACKDROP,9.0,1.0,0.0,0.0,inf,inf
BEIGE OR LIGHT BROWN BEDSPREAD,0.0,0.0,6.0,1.0,0.0,0.0
RAISED HANDS,8.0,1.0,0.0,0.0,inf,inf
OUTFITS,0.0,0.0,8.0,1.0,0.0,0.0
RELAXED DEMEANOR,42.0,5.0,7.0,1.0,6.0,5.0
EXCITED TONE,7.0,1.0,0.0,0.0,inf,inf
SYNCOPATED DRUM BEAT,7.0,1.0,0.0,0.0,inf,inf
BARITONE RANGE,6.0,1.0,0.0,0.0,inf,inf
VARIED PITCH,9.0,1.0,0.0,0.0,inf,inf
PRODUCT CLOSE-UP,8.0,1.0,0.0,0.0,inf,inf
SNAPPING SOUND,0.0,0.0,8.0,1.0,0.0,0.0
QUICK TRANSITION,0.0,0.0,9.0,1.0,0.0,0.0
GAME OR CHALLENGE,9.0,1.0,0.0,0.0,inf,inf
CARPETED FLOOR,5.0,1.0,0.0,0.0,inf,inf
LOVE AND PERSEVERANCE,8.0,1.0,0.0,0.0,inf,inf
