,HighWeight,LowWeight,RelativeWeight
HEAD AND EYE MOVEMENTS,48.0,44.0,1.0909090909090908
UPRIGHT POSTURE,18.0,,
EMOTIONS CAPTURED,8.0,,
LIVELY UPBEAT JINGLE,7.0,,
FRIENDLY ENTHUSIASTIC TONE,1.0,,
KITCHEN SETTING,32.0,6.0,5.333333333333333
MEASURING CUP,7.0,,
INGREDIENTS,8.0,,
BAKING PAN,7.0,,
PRODUCT,32.0,,
WHITE KITCHEN POT,7.0,,
LARGE WHITE MUG,6.0,,
HEAD AND EYE MOVEMENT,8.0,6.0,1.3333333333333333
HAND AND FINGER GESTURES,106.0,44.0,2.409090909090909
KITCHEN ITEMS,8.0,,
HARD-BOILED EGG GADGET,7.0,,
TIMER,8.0,,
COOKING ACTIVITY,9.0,,
FEMALE SPEAKER,61.0,,
ARTICULATION CLARITY,58.0,26.0,2.230769230769231
SPEECH RATE,83.0,18.0,4.611111111111111
SPONSORED PRODUCT,15.0,,
AUDIO TUTORIAL,9.0,,
MUFFLED VOICE EFFECT,8.0,,
DRAMATIC VOICEOVER SAMPLE,1.0,,
VERTICAL BLINDS,6.0,,
BODY POSTURE,26.0,19.0,1.368421052631579
EYEGLASSES,20.0,5.0,4.0
CAP,7.0,,
CLOTHING WITH TEXT AND GRAPHICS,7.0,,
WALLS AND INTERIOR FEATURES,1.0,,
CASUAL ATTIRE,23.0,13.0,1.7692307692307692
VOICE-OVER TECHNIQUE,8.0,,
ROOM TONE,7.0,,
AUDIO QUALITY,52.0,,
SILENCE DURATION,8.0,,
HESITATIONS AND FILLER WORDS,7.0,6.0,1.1666666666666667
LAUGH,8.0,,
THRIFT SHOPPING EXPERIENCE,9.0,,
LOWER EAST SIDE (LES),8.0,,
THRIFT STORES,9.0,,
OUTFITS AND ACCESSORIES,9.0,,
FIRST-PERSON PERSPECTIVE,8.0,,
URBAN ENVIRONMENT,23.0,,
LO-FI HIP HOP SONG,7.0,,
CAMERA ANGLE,7.0,,
DIGITAL WATERMARK,7.0,,
DAILY DIARIES VLOG,9.0,,
MORNING ROUTINE,35.0,14.0,2.5
UNIVERSITY ACTIVITIES,8.0,,
ICE SKATING,8.0,,
CASUAL VLOGGING STYLE,9.0,,
CEILING FAN,6.0,,
WATER BOTTLE,6.0,,
BED,1.0,,
EMOTIONAL STATE AND DEMEANOR,8.0,1.0,8.0
EYE AND HEAD MOVEMENTS,113.0,28.0,4.035714285714286
MUSIC TRACK,,5.0,
BACKGROUND NOISE LEVEL,39.0,7.0,5.571428571428571
SUBURBAN STREET,8.0,,
ATHLETIC GEAR,8.0,,
BRAND LOGOS,1.0,,
BRIGHT NEON YELLOW SHORTS,8.0,,
BRIGHT NEON YELLOW SHOES,8.0,,
OVERCAST SKY,13.0,,
BARE TREES,7.0,,
VEHICLES,7.0,,
TALL TREES,7.0,,
SIDEWALK,15.0,,
MUSIC CHOICE,8.0,,
PAUSES,24.0,14.0,1.7142857142857142
EXCELLENT ARTICULATION,10.0,,
RESIDENTIAL STREET,8.0,,
TIKTOK USERNAME,56.0,8.0,7.0
FASHION OUTFIT,8.0,,
"BRAND ""FENDI""",6.0,,
"BRAND ""MISTA""",1.0,,
HOOP EARRINGS,6.0,,
STYLISH JACKET,7.0,,
PEACE SIGN GESTURE,29.0,6.0,4.833333333333333
WARM LIGHTING,16.0,5.0,3.2
TIKTOK LOGO,29.0,10.0,2.9
LONG FLOWING HAIR,6.0,,
MAKEUP SCENARIO,8.0,,
LIGHTING,47.0,6.0,7.833333333333333
POSTURE,42.0,8.0,5.25
CONVERSATIONAL TONE,16.0,1.0,16.0
EMOJI USAGE,7.0,,
CREATOR'S HANDLE,8.0,,
VIDEO QUALITY,9.0,,
SILENCE AND PAUSES,1.0,,
VIDEO CONTENT,9.0,,
DRUGSTORE MAKEUP PRODUCTS,8.0,,
PRODUCT INTRODUCTION,27.0,20.0,1.35
VISUAL FOCUS,14.0,,
PRODUCT INTERACTION,17.0,7.0,2.4285714285714284
MAKEUP TUTORIAL,18.0,,
POSTURE AND MOVEMENTS,9.0,,
PRODUCT HANDLING,23.0,7.0,3.2857142857142856
EMOTIONAL STATE,21.0,4.0,5.25
EYE MOVEMENTS,53.0,19.0,2.789473684210526
FOUNDATION APPLICATION,9.0,,
MAKEUP ROUTINE,1.0,7.0,0.14285714285714285
POP SONG,29.0,14.0,2.0714285714285716
SIGNS OF ENTHUSIASM,,7.0,
SIGNS OF SINCERITY,9.0,7.0,1.2857142857142858
SIGNS OF DISCOMFORT,16.0,,
BACKGROUND COLORS,1.0,,
NEUTRAL FACIAL EXPRESSION,16.0,,
ANTICIPATION,8.0,,
INFLUENCER,26.0,16.0,1.625
CHILDHOOD PHOTO,8.0,,
CURRENT IMAGE,8.0,,
"MUSIC ""SWAG SURFIN'""",7.0,,
T-SHIRT DESIGN,6.0,,
FRAMED PHOTOGRAPH,7.0,,
SPORTS MEMORABILIA,6.0,,
PHYSICAL TRANSFORMATION,1.0,,
TRANSFORMATION THEME,9.0,,
PERCUSSIVE BEAT,,6.0,
ATMOSPHERIC SOUNDS,,6.0,
MELLOW MOOD,,1.0,
BASS,,6.0,
PAD,,6.0,
SNAPS,,1.0,
FOUR ON THE FLOOR KICK DRUM,,6.0,
JACK SKELLINGTON SNOW GLOBE,9.0,,
CANDLE WARMER,8.0,,
JACK SKELLINGTON,8.0,,
PAINTING MATERIALS,7.0,,
CONFETTI AND ARTIFICIAL SNOW,7.0,,
PRODUCT PLACEMENT STRATEGY,1.0,,
DIY CRAFT PROJECT,9.0,,
MORNING ROUTINE VLOG,9.0,,
VITALITY HARVEST PRODUCT,8.0,,
BREAKFAST PREPARATION,8.0,,
WORKSPACE,7.0,,
PERSONAL TIME,7.0,,
MOVEMENTS AND GESTURES,1.0,,
SKINCARE PRODUCTS,21.0,,
DISHES CLINKING,,6.0,
METALLIC CLANG,,6.0,
DRAWER SOUNDS,,1.0,
FAUCET SOUND,,6.0,
DAY IN THE LIFE VIDEO,,7.0,
VIVITEST,,6.0,
GLASSES,13.0,5.0,2.6
BREAKFAST,8.0,,
SMARTPHONE,16.0,13.0,1.2307692307692308
AUDIO COMMENTARY,1.0,,
INTERACTION,7.0,,
ATTENTION TO BRANDING,6.0,,
CALL TO ACTION,37.0,1.0,37.0
MALE SPEAKER,48.0,,
CLEAR IPHONE CASE,7.0,,
SILENT SECTIONS,7.0,,
ANGRY TONE,8.0,,
SOUNDS OF DISGUST,7.0,,
SPEECH PATTERNS,9.0,,
MOCKING TONE,7.0,,
HAIR AND MAKEUP STYLES,8.0,,
DEMI LOVATO OBSESSION,8.0,,
COLORFUL HEADBAND,7.0,,
HESITATIONS/FILLER WORDS,16.0,1.0,16.0
SIGH,12.0,,
LONG SILENCES,2.0,,
AYA NAKAMURA MUSIC,8.0,,
ON-SCREEN TEXT,36.0,13.0,2.769230769230769
GOLD NECKLACE,13.0,,
POSITIVE EMOTIONAL STATE,29.0,8.0,3.625
MALE VOCALIST SONG,1.0,,
NEW MUSIC RELEASE,8.0,,
MALE VOCALIST,10.0,1.0,10.0
ELECTRO-POP INSTRUMENTAL,8.0,,
SYNTHESIZER,8.0,,
ELECTRONIC DRUMS,8.0,,
REVERB/DELAY,8.0,,
SILENCE ANALYSIS,7.0,,
NON-VERBAL SOUNDS,1.0,,
TOWEL SWAN,8.0,,
PATTERNED SURFACE,6.0,,
PRODUCT VISIBILITY,,6.0,
SPONSORED CONTENT STRATEGY,1.0,,
MUSICAL TRACK,,6.0,
SILENCES IN AUDIO,,5.0,
VOICE OVERLAY,,6.0,
WORD COUNT,5.0,1.0,5.0
LOUDNESS VARIATIONS,,5.0,
MAKEUP PRODUCTS,25.0,15.0,1.6666666666666667
VALENTINE'S DAY THEME,,12.0,
DECORATED SPACE,,6.0,
HAND AND FINGER GESTURE,,19.0,
HEART DESIGN,,6.0,
FESTIVE ATMOSPHERE,,6.0,
NEUTRAL COLOR PALETTE,,5.0,
EMOJIS,1.0,1.0,1.0
HEADBAND,,6.0,
WOODY SANDALWOOD PERFUME,,7.0,
PRODUCT FEATURE MOMENTS,28.0,19.0,1.4736842105263157
INTERACTION AND HANDLING,8.0,7.0,1.1428571428571428
VISUAL FOCUS STRATEGY,,6.0,
PERSONAL TESTIMONY STRATEGY,,6.0,
NATURAL SETTING STRATEGY,,6.0,
GESTURE AND MOVEMENT,,6.0,
AUDIENCE,17.0,41.0,0.4146341463414634
WOODY SANDALWOOD PRODUCT,7.0,,
WINDOW,6.0,5.0,1.2
HAIR ACCESSORIES,,5.0,
UPBEAT SONG,1.0,,
RELAXED POSTURE,16.0,12.0,1.3333333333333333
BLUE SWEATSHIRT,7.0,,
PINK SCRUNCHIE,7.0,,
SYNTHESIZED INSTRUMENTS,8.0,,
STRONG BASSLINE,8.0,,
ECHO EFFECT,9.0,1.0,9.0
DIRECT EYE CONTACT,18.0,,
VIEWER'S COMMENT,16.0,,
AUDIO NARRATION,27.0,,
WINDOWS PHONE,1.0,,
CAP AND GLASSES,7.0,,
DESK LAMP,7.0,5.0,1.4
LIGHT GRAY SWEATSHIRT,7.0,,
BLACK CAP,7.0,,
CHAIR,20.0,,
WARM AMBIENT LIGHTING,8.0,,
BEIGE WALL,7.0,,
SOFT YELLOW LIGHT,8.0,,
LUMIA 1020,9.0,,
GAMING CHAIR,6.0,,
TECHNOLOGY REVIEWER,9.0,,
TECH ENTHUSIASTS,8.0,,
PITCH VARIATION,16.0,,
VOLUME AND CLARITY,9.0,,
FRONT-FACING CAMERA,7.0,,
VIDEO RECORDING QUALITY,9.0,,
SPEAKER'S TONE,8.0,,
MAIN CAMERA,8.0,,
FREE STORAGE TIPS,8.0,,
CASUAL SETTING,54.0,19.0,2.8421052631578947
ANIMATED FACIAL EXPRESSIONS,16.0,12.0,1.3333333333333333
DYNAMIC EYE AND HEAD MOVEMENTS,1.0,,
BRAND MENTION,14.0,,
VERBAL OR TEXT DISCLOSURE,5.0,,
DEMONSTRATIONS,6.0,,
PERSONAL TESTIMONY OR STORYTELLING,7.0,,
WIDE EYES AND OPEN MOUTH,8.0,,
FURROWED BROWS,7.0,,
SMILE,8.0,,
POINTING MOTION,8.0,,
SEATED POSITION,8.0,1.0,8.0
LEANING FORWARD,1.0,,
PRODUCT OR SERVICE RELATED TO STORAGE,7.0,,
COMMENT BUBBLE,7.0,,
AUDIO CONTENT,18.0,14.0,1.2857142857142858
TERABOX APP,8.0,6.0,1.3333333333333333
CLOUD STORAGE,1.0,6.0,0.16666666666666666
TONE OF VOICE,8.0,,
OVERALL DEMEANOR,18.0,,
TEXT ELEMENT,7.0,,
FACIAL EXPRESSION,32.0,,
ANDROID PHONE,,6.0,
HESITATIONS,13.0,2.0,6.5
PLAY STORE,,6.0,
BASE STORAGE,,6.0,
512 GIGABYTE VERSION,,6.0,
LOUDNESS CONSISTENCY,,7.0,
FASHION HACK,9.0,,
RAP SONG,8.0,,
SHOELACE,8.0,,
DENIM SHORTS,8.0,,
WALL CLOCK,7.0,,
TV SCREEN,7.0,,
DECORATIVE BASKETS,7.0,,
PENDANT LIGHTS,1.0,,
ROOM DECOR,8.0,,
CAR SETTING,22.0,,
STARBUCKS,23.0,,
FRIDAY MORNING SERIES,8.0,,
AUDIENCE INTERACTION,9.0,,
SERIES THEME,8.0,,
INTERACTION WITH THE PRODUCT,17.0,7.0,2.4285714285714284
SPONSORED VIDEO ANALYSIS,7.0,,
CONCLUSION,8.0,,
FACIAL EXPRESSIONS ANALYSIS,8.0,,
EYE AND HEAD MOVEMENTS ANALYSIS,8.0,,
HAND GESTURES ANALYSIS,8.0,,
CONTEXTUAL CUES,7.0,,
VOCAL TONE,7.0,,
SPONSORSHIP IDENTIFICATION,14.0,,
CAR INTERIOR,24.0,12.0,2.0
TIKTOK BRANDING,8.0,1.0,8.0
BROWN SUGAR OAT MILK SHAKEN ESPRESSO,8.0,,
UPBEAT MUSIC,28.0,1.0,28.0
GREENERY,,5.0,
REARVIEW MIRROR,6.0,,
WIND AND TRAFFIC NOISE,8.0,,
UPWARD INFLECTION,15.0,6.0,2.5
CONSISTENT VOLUME,24.0,,
STARBUCKS AMBIENCE,9.0,,
WIND NOISE,7.0,,
TRAFFIC NOISE,12.0,,
WIG OR HAIRPIECE,8.0,,
BRACELETS,7.0,,
CLOTHING WITH LOGO,7.0,,
NEON OR LED LIGHTING,7.0,,
AUDIO TRACK,1.0,,
HAND MOVEMENTS,56.0,,
SYNTHETIC BEAT,1.0,,
SILENCES,34.0,6.0,5.666666666666667
LAUGHTER,19.0,5.0,3.8
MELODIC ELEMENTS,,5.0,
PITCH VARIATIONS,9.0,6.0,1.5
BACKGROUND SOUND EFFECTS,,1.0,
SPOKEN WORD,,6.0,
CRAFTING OR DÉCOR SHOWCASE,,7.0,
HEART-SHAPED DECORATION,,6.0,
FEMALE VOICE,30.0,8.0,3.75
VALENTINE'S DAY GIFT BASKET,,7.0,
ELLA MENTAL THREADS COMPANY,,5.0,
KITTY ZOOM CAMERA,8.0,5.0,1.6
SQUISHMALLOW,8.0,1.0,8.0
PLASTIC PACKAGING,,5.0,
FIDGET TOY,,5.0,
BOOK,,5.0,
VALENTINE'S DAY ROMPER,,5.0,
KISSES,,1.0,
HEART-SHAPED WREATH,,6.0,
CHILD'S VOICE,7.0,,
GIFT BASKET,8.0,,
VALENTINE'S DAY,1.0,,
MICROPHONE STAND,,6.0,
FRAMED PICTURE/ART,,5.0,
HAT/CAP,,6.0,
CANON MIRRORLESS CAMERA,,6.0,
CANON R6,,6.0,
SENNHEISER MKE 400,,6.0,
TIKTOK PLATFORM,,6.0,
PARENTS,7.0,,
AUDIO CHARACTERISTICS,9.0,,
PAUSES AND SILENCES,2.0,,
CONVERSATIONAL FLOW,1.0,,
SPEAKING VOICE,9.0,,
VALENTINE'S DAY SELF-CARE THEME,8.0,,
JAM JAR WINES,8.0,,
INTRODUCTORY CARD,7.0,,
SELF-CARE ESSENTIALS,8.0,,
WINE FEATURE,8.0,,
RELAXATION AND ENJOYMENT,9.0,,
SPONSORSHIP INDICATIONS,7.0,7.0,1.0
PRODUCT DISPLAY,16.0,,
ENGAGEMENT STRATEGY,8.0,,
SUBTLE BRANDING,8.0,,
INFLUENCER'S FACIAL EXPRESSIONS,9.0,,
ADDITIONAL ELEMENTS,9.0,,
MARBLE TABLE,14.0,,
POTTED PLANT,14.0,,
FEMALE VOCALS,8.0,,
VALENTINE'S CARD,7.0,,
R&B STYLE,8.0,,
HIGH PITCHES,53.0,,
LOW PITCHES,52.0,,
CALL AND RESPONSE,1.0,,
VERSES,8.0,,
VOCALIST,1.0,,
CHORUS,8.0,,
FAREWELL MESSAGE,,7.0,
GUITAR,,7.0,
COZY ROOM,8.0,6.0,1.3333333333333333
SILVER FOIL,,6.0,
UPBEAT ELECTRONIC MUSIC,,7.0,
AUTOTUNED VOCALS,,1.0,
DIRECT GAZE,,7.0,
WARM TONES,,6.0,
BOOKSHELF,,6.0,
FRAMED POSTER,,7.0,
REVERB/DELAY EFFECT,,6.0,
CHORUS EFFECT,,6.0,
SIDECHAIN COMPRESSION,,1.0,
CHEERFUL FACIAL EXPRESSIONS,,7.0,
HUMOROUS TIKTOK POST,8.0,,
TARGET STORE,7.0,,
STORE SIGNAGE,6.0,,
CEILING LIGHTS,6.0,,
SHOPPING LIST,7.0,,
TIKTOK,7.0,7.0,1.0
PARKING LOT,1.0,,
SPOUSE,8.0,,
PARADE,,7.0,
VIBRANT PINK SLEEPWEAR,,7.0,
BRAND LOGO,,6.0,
COZY ENVIRONMENT,8.0,,
ACOUSTIC GUITAR,16.0,,
SONG,1.0,,
WARM AMBIANCE,7.0,,
LYRICAL CONTENT,7.0,,
SYNTHESIZED INSTRUMENTALS,1.0,,
MUSIC THEME,8.0,,
OUTFIT OF THE DAY,8.0,,
BRICK BUILDING,15.0,,
GREEN OUTFIT,8.0,,
THOUGHTFUL EXPRESSION,14.0,,
SMILING/BRIGHT EXPRESSION,8.0,,
WINDOW AIR CONDITIONER,6.0,,
METAL RAILINGS,6.0,,
CIRCULAR WINDOW,6.0,,
LIGHT TRAFFIC SOUNDS,7.0,,
WALKING SOUNDS,1.0,,
NEUTRAL/PLEASANT EXPRESSION,7.0,,
ARTICULATION,17.0,,
BRAND AMBASSADOR,8.0,,
MAKEUP LOOK,8.0,,
ELEGANT HAIRSTYLE,7.0,,
ACCESSORIES,6.0,,
INDOOR BACKGROUND,22.0,6.0,3.6666666666666665
TEXT ELEMENTS,16.0,,
GRAPHICAL ELEMENTS,7.0,,
RAP SONG AUDIO,2.0,,
SOCIAL MEDIA PLATFORM,7.0,,
COSMETIC BRAND,8.0,,
RAP LYRICS,17.0,,
RAP SUBGENRE,1.0,,
MUSICAL INTONATION,8.0,,
PROMOTIONAL VIDEO,9.0,,
ULTA BEAUTY STORE,7.0,,
NEW JUVIA'S PLACE LIQUID BLUSHLIGHTERS,9.0,,
PRODUCT APPLICATION,16.0,,
FINGER SNAPPING MOTION,6.0,,
BLUSH SHADES,8.0,,
SPEAKER'S VOICE,20.0,21.0,0.9523809523809523
ENTERTAINMENT VENUE,8.0,,
THE AXE GAME,7.0,,
POSTERS AND SIGNS,6.0,,
NATHANIEL HUGHES,7.0,,
FLYER,7.0,,
PURPLE LIGHTING,6.0,,
NEON SIGNS,6.0,,
HAT WITH LOGO,6.0,,
T-SHIRT GRAPHIC,1.0,,
"BRANSON, MISSOURI",7.0,,
COOKING TUTORIAL,9.0,,
BLUE CHEESE,1.0,,
GROUND BEEF,15.0,,
BUFFALO BLUE CHEESE SAUCE,7.0,,
SHREDDED LETTUCE,6.0,,
SOUR CREAM,6.0,,
HOT SAUCE,6.0,,
SMASH BURGER TACOS,1.0,,
MEATBALL SCOOPER,7.0,,
BEIS CARRY-ON LUGGAGE,9.0,7.0,1.2857142857142858
SPONSORSHIP INDICATION,7.0,6.0,1.1666666666666667
PRESENTATION STRATEGIES,,1.0,
SURPRISE AND JOY,,6.0,
SATISFACTION AND PLEASURE,,6.0,
EXCITEMENT AND ANTICIPATION,1.0,6.0,0.16666666666666666
SHAY MITCHELL,7.0,,
MIAMI TRIP,1.0,,
COZY AMBIANCE,8.0,,
COFFEE PRODUCT,8.0,,
GIORGIO ARMANI MY WAY PERFUME,7.0,,
SPONSORED PRODUCT INDICATORS,6.0,,
AUDIO ARTICULATION,9.0,,
BREATHING AND INTONATION,1.0,,
HANDLING NOISE,7.0,,
PERFUME DESCRIPTION,1.0,,
MORNING VLOG,,7.0,
LOG CABIN SETTING,,6.0,
PRODUCT PLACEMENT,34.0,40.0,0.85
ROMANTIC R&B SONG,,1.0,
NATURAL LIGHTING,40.0,6.0,6.666666666666667
FLORAL PATTERNS,,5.0,
RUSTIC ATMOSPHERE,,6.0,
KITCHEN AREA,,1.0,
CASUAL ENVIRONMENT,,6.0,
FAST SPEECH RATE,7.0,,
FANCY FELINE TOY SET,9.0,,
BRANDING,8.0,,
APPEAL STRATEGY,8.0,,
GIFT TAG,8.0,,
WHITE BOW,8.0,,
TEXTUAL ELEMENTS,8.0,,
ILLUSTRATIONS ON THE BOX,8.0,,
BRIGHT COLORS,15.0,,
CARTOON ANIMALS,8.0,,
FESTIVE ELEMENTS,8.0,,
MUSIC TRANSITIONS,8.0,,
INSTRUMENTAL TUNE,8.0,,
SNARE DRUM,8.0,,
HAND CLAPS,8.0,,
BRASS INSTRUMENTS,8.0,,
TIMPANI DRUMS,8.0,,
STRINGS,8.0,,
MARIMBA,8.0,,
CONGA DRUMS,8.0,,
CLAVES,8.0,,
REVERB,15.0,,
MUSIC LAYERING,8.0,,
NO SPEECH,1.0,,
CASUAL HOME SETTING,7.0,6.0,1.1666666666666667
LYSOL PRODUCT,,7.0,
CAPTIONS,,6.0,
TONE AND SETTING,,6.0,
VIEWER ENGAGEMENT,,6.0,
HOME ENVIRONMENT,8.0,,
RUSTLING SOUNDS,7.0,5.0,1.4
MOM-AND-POP CHINESE RESTAURANT,9.0,,
HOUSTON'S CHINATOWN,8.0,,
AMAZING NOODLES,9.0,,
CULINARY EXPLORATION,1.0,,
ENGAGEMENT WITH AUDIENCE,8.0,7.0,1.1428571428571428
LOCATION HIGHLIGHT,7.0,,
CHOPSTICK GRIP,7.0,,
SEATED POSTURE,9.0,1.0,9.0
PLAYFUL INTERACTION,1.0,,
FOOD PRESENTATION,8.0,6.0,1.3333333333333333
MOM AND POP CHINESE RESTAURANT,8.0,,
BOWL OF NOODLES,8.0,,
BUTTERFLIES,6.0,,
CHOPSTICKS,7.0,,
CASUAL AND VIBRANT ENVIRONMENT,8.0,,
CHINESE CHARACTERS,7.0,,
WARM AND EARTHY COLORS,14.0,,
GENTLE SYNTH MELODY,8.0,,
KOREAN FEMALE VOCALIST,8.0,,
PAPER AIRPLANE,7.0,,
RECURRING MELODIC MOTIF,1.0,,
MAKEUP THEME,8.0,,
LIGHTING EFFECTS,7.0,,
HAIR ADJUSTMENT,7.0,,
NEUTRAL TO ENGAGED EXPRESSION,8.0,,
SURPRISE OR EMPHASIS EXPRESSION,8.0,,
PLAYFULNESS OR LIGHTHEARTEDNESS EXPRESSION,7.0,,
OPEN MOUTH EXPRESSION,7.0,,
SHIMMERY EYE MAKEUP,8.0,,
OUTDOOR SETTING,70.0,6.0,11.666666666666666
BRACES UPDATE,9.0,,
